issn;e_issn;title;short_title
0007-1021;;British journal of experimental pathology;Br J Exp Pathol
1017-5644;;Romanian journal of neurology and psychiatry;Rom J Neurol Psychiatry
0001-8376;;Administrative management;Adm Manage
1053-881X;;Integrative physiological and behavioral science;Integr Physiol Behav Sci
0937-9827;1437-1596;International journal of legal medicine;Int
0960-0760;1879-1220;The Journal of steroid biochemistry and molecular biology;J
1053-4628;1557-5268;The Journal of clinical pediatric dentistry;J Clin Pediatr Dent
1048-4477;;Hospital patient relations report;Hosp Patient Relat Rep
0007-1048;1365-2141;British journal of haematology;Br
1052-8733;;Hospital revenue report;Hosp Revenue Rep
1016-2291;1423-0305;Pediatric neurosurgery;Pediatr Neurosurg
0925-4773;1872-6356;Mechanisms of development;Mech
1054-3589;1557-8925;Advances in pharmacology;Adv
0905-2070;;Odontologia practica;Odontol Pract
1018-0532;;Revue roumaine de virologie;Rev Roum Virol
0834-7824;;Axone;Axone
0007-1072;;British journal of industrial medicine;Br J Ind Med
0001-8899;;Advertising age;Advert Age
0007-1102;2044-8317;The British journal of mathematical and statistical psychology;Br J Math Stat Psychol
1042-962X;;Refractive;Refract Corneal Surg
0914-7470;1749-0774;Human cell;Hum
0740-9303;1537-2677;Ophthalmic plastic and reconstructive surgery;Ophthal Plast Reconstr Surg
0007-1110;;British journal of medical education;Br J Med Educ
0953-8178;1460-2377;International immunology;Int
0141-8130;1879-0003;International journal of biological macromolecules;Int
0920-5063;1568-5624;Journal of biomaterials science;J Biomater Sci Polym Ed
0923-1811;1873-569X;Journal of dermatological science;J
0999-5021;;Realites cliniques;Real Clin
0449-1939;;Journal de physiologie;J Physiol Suppl
1045-2877;;AIDS clinical review;AIDS Clin Rev
0921-8912;1878-3651;Analytical cellular pathology;Anal Cell Pathol
0923-7534;1569-8041;Annals of oncology;Ann
0920-3206;1573-7241;Cardiovascular drugs and therapy;Cardiovasc Drugs Ther
1044-9523;;Cell growth;Cell Growth Differ
0936-6555;1433-2981;Clinical oncology;Clin Oncol
0890-9016;;Clinical transplants;Clin Transpl
0921-3775;;Frontiers of medical and biological engineering;Front Med Biol Eng
0394-249X;;Gene geography;Gene Geogr
0007-1129;;The British journal of medical psychology;Br J Med Psychol
0894-8569;1607-8462;HPB surgery;HPB Surg
0189-160X;;West African journal of medicine;West Afr J Med
0007-7135;;Business week;Bus Week
0952-5238;1469-8714;Visual neuroscience;Vis
0886-6708;;Violence and victims;Violence Vict
1121-7596;;Thyroidology;Thyroidology
1045-2257;1098-2264;Genes;Genes Chromosomes Cancer
0169-1015;;Spatial vision;Spat Vis
0920-9964;1573-2509;Schizophrenia research;Schizophr
0168-8375;;Reviews of oculomotor research;Rev Oculomot Res
0146-521X;;Regional anesthesia;Reg Anesth
1053-8550;;Journal of immunotherapy;J
1049-8834;;Arteriosclerosis and thrombosis;Arterioscler
0960-7439;1365-263X;International journal of paediatric dentistry;Int J Paediatr Dent
0863-4106;;Zentralblatt fur Pathologie;Zentralbl
0007-1145;1475-2662;The British journal of nutrition;Br
0960-7420;1365-2370;European journal of immunogenetics;Eur
0862-8408;1802-9973;Physiological research;Physiol Res
1220-0875;;Oftalmologia;Oftalmologia
0792-6855;2191-0286;Journal of basic and clinical physiology and pharmacology;J Basic Clin Physiol Pharmacol
0894-1939;1521-0553;Journal of investigative surgery;J Invest Surg
0263-7855;;Journal of molecular graphics;J Mol Graph
0306-5456;;British journal of obstetrics and gynaecology;Br J Obstet Gynaecol
1042-6922;;Lens and eye toxicity research;Lens Eye Toxic Res
0095-4403;;Bulletin of the American Society for Information Science;Bull Am Soc Inf Sci
1043-4674;;The New biologist;New Biol
1226-3303;2005-6648;The Korean journal of internal medicine;Korean J
0007-1161;1468-2079;The British journal of ophthalmology;Br J Ophthalmol
0863-4904;;Deutsche Stomatologie;Dtsch Stomatol
0001-0944;;Revista ADM;Rev ADM
0939-7248;1439-359X;European journal of pediatric surgery;Eur J Pediatr Surg
0916-2062;;Aichi;Aichi Gakuin Dent Sci
0266-4356;1532-1940;The British journal of oral;Br J Oral Maxillofac Surg
0007-117X;;The British journal of oral surgery;Br J Oral Surg
0002-8282;;The American economic review;Am Econ Rev
0301-228X;;British journal of orthodontics;Br J Orthod
8756-8519;;Hospital ethics;Hosp Ethics
0899-1073;;Perspectives in healthcare risk management;Perspect Healthc Risk Manage
1047-7276;;Healthcare trends;Healthc Trends Transit
0007-1188;1476-5381;British journal of pharmacology;Br
0007-1218;;The British journal of physiological optics;Br J Physiol Opt
0007-1226;;British journal of plastic surgery;Br J Plast Surg
0007-1242;;British journal of preventive;Br J Prev Soc Med
0007-1250;1472-1465;The British journal of psychiatry;Br J Psychiatry
0007-1269;;British journal of psychology;Br J Psychol
0263-7103;;British journal of rheumatology;Br
0144-6665;2044-8309;The British journal of social psychology;Br J Soc Psychol
0007-1285;1748-880X;The British journal of radiology;Br J Radiol
0007-1293;;The British journal of social and clinical psychology;Br J Soc Clin Psychol
0007-1315;1468-4446;The British journal of sociology;Br J Sociol
0306-3674;1473-0480;British journal of sports medicine;Br J Sports Med
0007-1323;1365-2168;The British journal of surgery;Br J Surg
0007-1331;;British journal of urology;Br J Urol
0306-8854;;British journal of radiology;Br J Radiol Suppl
0007-134X;;The British journal of venereal diseases;Br J Vener Dis
0007-1420;1471-8391;British medical bulletin;Br
0007-1447;;British medical journal;Br Med J
0267-0623;;British medical journal;Br Med J
0007-1668;1466-1799;British poultry science;Br
0097-6326;2167-2520;Federal register;Fed Regist
0007-1935;;The British veterinary journal;Br
0006-8950;1460-2156;Brain;Brain
0006-8977;1421-9743;Brain;Brain Behav
0093-934X;1090-2155;Brain and language;Brain Lang
0006-8993;1872-6240;Brain research;Brain Res
0361-9230;1873-2747;Brain research bulletin;Brain Res
0006-9248;;Bratislavske lekarske listy;Bratisl Lek Listy
0308-6356;;Bristol medico;Bristol Med Chir J
0007-2222;;Les Bronches;Bronches
0395-3904;;Broncho;Bronchopneumologie
0068-2799;;Brookhaven symposia in biology;Brookhaven Symp
0007-2680;;Bruns;Bruns Beitr Klin Chir
0068-3027;;Bruxelles medical;Brux Med
0360-4217;;National journal;Natl J
0300-9602;;B;BTTA Rev
0068-3361;;Bucherei des Augenarztes;Buch Augenarzt
0007-3490;;Building operating management;Build Oper Manage
0339-9729;;Bulletin de l;Bull Acad Dent
0002-2284;;Building systems design;Build Syst Des
0567-6657;;Bulletin of Academy of Dentistry for the Handicapped;Bull Acad Dent Handicap
0163-089X;;Wall Street journal;Wall St J Midwest Ed
0098-3810;;The Bulletin of the Academy of General Dentistry;Bull Acad Gen Dent
0001-4079;;Bulletin de l;Bull
0007-6813;;Business horizons;Bus Horiz
0007-6864;;Business insurance;Bus Insur
0001-4168;;Bulletin de l;Bull Acad R Med Belg
0096-7653;;Advances in veterinary science;Adv Vet Sci
0065-2636;;Advances in food research;Adv Food Res Suppl
0095-8905;;Annals of clinical laboratory science;Ann Clin Lab Sci
0001-4192;;Bulletin de l;Bull Acad Vet Fr
0003-0635;;Bulletin;Bull Am Protestant Hosp Assoc
0173-0541;;Langenbecks Archiv fur Chirurgie;Langenbecks Arch Chir Suppl II Verh Dtsch Ges Chir
0890-5533;;Biomaterials;Biomater Artif Cells Artif Organs
0942-2854;;Langenbecks Archiv fur Chirurgie;Langenbecks Arch Chir Suppl Kongressbd
1059-910X;1097-0029;Microscopy research and technique;Microsc
0862-8416;;Functional and developmental morphology;Funct Dev Morphol
0327-6309;;Acta physiologica;Acta Physiol Pharmacol Ther Latinoam
1121-760X;2038-8306;European journal of histochemistry;Eur J Histochem
0007-229X;;Brookings bulletin;Brookings Bull
0002-3701;;Bulletin of the Akron Dental Society;Bull Akron Dent Soc
1121-4171;1971-1425;Giornale italiano di endodonzia;G Ital Endod
1222-3891;;Roumanian archives of microbiology and immunology;Roum Arch Microbiol Immunol
0091-634X;;The Bulletin of the American Academy of Psychiatry and the Law;Bull Am Acad Psychiatry Law
1101-3923;;Scandinavian journal of plastic and reconstructive surgery and hand surgery;Scand J Plast Reconstr Surg Hand Surg Suppl
0569-2555;;The Bulletin;Bull Am Assoc Dent Ed
1059-1524;1939-4586;Molecular biology of the cell;Mol
0163-9803;;Bioethics quarterly;Bioethics Q
0002-8002;;Bulletin of the American College of Nurse;Bull Am Coll Nurse Midwives
0098-3721;;Bulletin of the American College of Nurse;Bull Am Coll Nurse Midwifery
0014-455X;;Executive housekeeper;Exec Housekeeper
0746-469X;;Clinical laser monthly;Clin Laser Mon
0267-6605;1878-6979;Clinical materials;Clin Mater
1040-8738;1531-7021;Current opinion in ophthalmology;Curr Opin Ophthalmol
0902-0063;1399-0012;Clinical transplantation;Clin Transplant
0009-9325;;Clinical trials journal;Clin Trials J
0194-8458;;Contemporary orthopaedics;Contemp Orthop
0920-5268;;Applied cardiopulmonary pathophysiology;Appl Cardiopulm Pathophysiol
0194-2514;;Diagnostic imaging;Diagn Imaging
0376-6160;;Bulletin de l;Bull Assoc Anat
1060-5487;;Journal of AHIMA;J AHIMA
1061-222X;;Rhode Island medicine;R I Med
0028-047X;;Nation;Nations Bus
0950-3528;;Bailliere;Baillieres Clin
1058-2916;1538-943X;ASAIO journal;ASAIO J
0889-1591;1090-2139;Brain;Brain Behav
0004-5497;;Bulletin de l;Bull Assoc Fr Etud Cancer
0965-0407;1555-3906;Oncology research;Oncol
1062-2551;1945-1474;Journal for healthcare quality;J Healthc Qual
1048-6682;;Nonprofit management;Nonprofit Manag Leadersh
0003-973X;;Archives d;Arch Ophtalmol Rev Gen Ophtalmol
1018-8665;1421-9832;Dermatology;Dermatology
1060-0280;1542-6270;The Annals of pharmacotherapy;Ann Pharmacother
0916-8737;1884-8796;Journal of smooth muscle research;J Smooth Muscle Res
1054-5913;;AAPPO journal;AAPPO J
1042-346X;1938-1387;Journal of laser applications;J Laser Appl
1040-2152;;The Journal of lithotripsy;J Lithotr Stone Dis
1050-6934;1940-4379;Journal of long;J Long Term Eff Med Implants
1051-2284;1552-6569;Journal of neuroimaging;J Neuroimaging
1051-2292;;Journal of the International Federation of Clinical Chemistry;J Int Fed Clin Chem
1048-6690;;Medical device technology;Med Device Technol
1057-428X;;Continuing care;Contin Care
0010-7395;;Contamination control;Contam Control
0741-238X;1865-8652;Advances in therapy;Adv Ther
1041-3235;;American clinical laboratory;Am Clin Lab
0190-0439;;Bulletin;Bull Cincinnati Dent Soc
0093-4437;;Anesthesiology review;Anesthesiol Rev
1040-0435;1949-3614;Assistive technology;Assist Technol
0067-5776;;The Bulletin of the Bergen County Dental Society;Bull Bergen Cty Dent Soc
0950-3536;;Bailliere;Baillieres Clin
0002-8010;;The Bulletin of the American College of Physicians;Bull Am Coll Physicians
1051-2020;;Biomedical science and technology;Biomed Sci Technol
0956-3075;1473-7752;Clinical intensive care;Clin Intensive Care
0894-959X;1945-3574;Clinical laboratory science;Clin Lab Sci
0742-2822;1540-8175;Echocardiography;Echocardiography
0266-7037;;Intensive care world;Intensive Care World
0894-2684;1557-9026;Journal of aerosol medicine;J Aerosol Med
1045-4861;;Journal of applied biomaterials;J Appl Biomater
1044-5471;;Journal of clinical laser medicine;J Clin Laser Med Surg
0022-1058;;The Journal of extra;J Extra Corpor Technol
0007-4187;;Bulletin biologique de la France et de la Belgique;Bull Biol Fr Belg
1042-4067;1557-7724;Journal of gynecologic surgery;J Gynecol Surg
0316-5957;;Canadian journal of comparative medicine and veterinary science;Can J Comp Med Vet Sci
1042-3931;1557-2501;The Journal of invasive cardiology;J Invasive Cardiol
0026-9336;;Monatsschrift fur Unfallheilkunde;Monatsschr Unfallheilkd Versicher Versorg Verkehrsmed
0029-4810;;Nouvelle revue francaise d;Nouv Rev Fr Hematol
0963-7273;;European journal of disorders of communication;Eur J Disord Commun
0803-5326;;Acta paediatrica;Acta Paediatr Suppl
0918-2918;1349-7235;Internal medicine;Intern
0934-8840;;Zentralblatt fur Bakteriologie;Zentralbl
0365-5423;;Naunyn;Naunyn Schmiedebergs Arch Pharmakol Exp Pathol
0268-4705;1531-7080;Current opinion in cardiology;Curr
1062-2454;;Neonatal intensive care;Neonatal Intensive Care
0002-8045;;Bulletin of the American College of Surgeons;Bull Am Coll Surg
0267-6591;1477-111X;Perfusion;Perfusion
0378-9721;;Bulletin of animal health and production in Africa;Bull Anim Health Prod Afr
1049-023X;1945-1938;Prehospital and disaster medicine;Prehosp Disaster Med
1045-4527;;Seminars in arthroplasty;Semin Arthroplasty
0882-0538;1744-5205;Seminars in ophthalmology;Semin Ophthalmol
0951-7383;;Current opinion in neurology and neurosurgery;Curr Opin Neurol Neurosurg
0955-3886;;Transfusion science;Transfus Sci
0019-5081;;Indian journal of biochemistry;Indian J Biochem
0025-7303;;The Medical journal of Malaya;Med J Malaya
0916-8451;1347-6947;Bioscience;Biosci
0068-5372;;Bulletin of the Calcutta School of Tropical Medicine;Bull Calcutta Sch Trop Med
0094-5331;;Laboratory animal care;Lab Anim Care
0028-1956;;The Nebraska state medical journal;Nebr State Med J
0472-5131;;Odontologisk revy;Odontol Revy Suppl
0007-4551;1769-6917;Bulletin du cancer;Bull Cancer
0937-941X;1433-2965;Osteoporosis international;Osteoporos Int
1040-5704;;Peptide research;Pept
1041-0228;;Problems in veterinary medicine;Probl Vet Med
0952-0600;;Pulmonary pharmacology;Pulm Pharmacol
0890-6238;1873-1708;Reproductive toxicology;Reprod
0887-7963;1532-9496;Transfusion medicine reviews;Transfus Med Rev
0301-1585;;Zeitschrift fur Krebsforschung;Z Krebsforsch
0044-3387;;Zeitschrift fur praktische Anasthesie und Wiederbelebung;Z Prakt Anasth
1353-0224;;The British journal of theatre nursing;Br J Theatre Nurs
0093-7061;;Modern healthcare;Mod Healthc
0749-8047;1536-5409;The Clinical journal of pain;Clin J Pain
0896-4289;;Behavioral medicine;Behav Med
0376-0243;;Beitrage zur Silikose;Beitr Silikoseforsch
1045-4403;;Critical reviews in eukaryotic gene expression;Crit
1170-229X;;Drugs;Drugs Aging
0959-6658;1460-2423;Glycobiology;Glycobiology
0213-3911;1699-5848;Histology and histopathology;Histol
0886-0440;1540-8191;Journal of cardiac surgery;J Card Surg
1053-1807;1522-2586;Journal of magnetic resonance imaging;J Magn Reson Imaging
0895-0385;;Journal of spinal disorders;J Spinal Disord
1051-0443;1535-7732;Journal of vascular and interventional radiology;J Vasc Interv Radiol
0938-8990;1432-1777;Mammalian genome;Mamm
0025-5564;1879-3134;Mathematical biosciences;Math Biosci
0899-9007;1873-1244;Nutrition;Nutrition
1050-6918;;Optometry clinics;Optom Clin
0009-2673;1348-0634;Bulletin of the Chemical Society of Japan;Bull
0009-3378;;Bulletin of the Chest Disease Research Institute;Bull Chest Dis Res Inst Kyoto Univ
0069-4096;;The Bulletin of the Cincinnati Dental Society;Bull Cincinnati Dent Soc
0736-3583;;Bulletin of clinical neurosciences;Bull Clin Neurosci
0009-8795;;The Bulletin of the Cleveland Dental Society;Bull Cleve Dent Soc
0013-6166;;Bulletin of the Eleventh District Dental Society;Bull Eleventh Dist Dent Soc
0007-4845;;Bulletin of endemic diseases;Bull Endem Dis
1059-9509;;The Journal of stone disease;J Stone Dis
0869-2106;;Rossiiskii meditsinskii zhurnal;Ross Med Zh
1071-2984;;Beginnings;Beginnings
0091-7427;;Journal of the American Medical Women;J Am Med Womens Assoc
0011-8591;;Bulletin of the Dental Guidance Council for Cerebral Palsy;Bull Dent Guid Counc Cereb Palsy
0941-3790;1439-4421;Gesundheitswesen;Gesundheitswesen
0210-3591;;Revista espanola de anestesiologia;Rev Esp Anestesiol
0044-2879;;Zeitschrift fur Immunitatsforschung;Z Immunitatsforsch Allerg Klin Immunol
0007-4853;1475-2670;Bulletin of entomological research;Bull
0197-713X;;Physician assistant;Physician Assist Health Pract
0007-4861;1432-0800;Bulletin of environmental contamination and toxicology;Bull Environ Contam Toxicol
1220-3696;;Bacteriologia;Bacteriol Virusol Parazitol Epidemiol
0007-487X;;Bulletin of epizootic diseases of Africa;Bull Epizoot Dis Afr
0021-8332;;Journal francais d;J Fr Otorhinolaryngol Audiophonol Chir Maxillofac
0014-0929;;The Bulletin;Bull Essex Cty Dent Soc
0941-1291;1436-2813;Surgery today;Surg
1023-294X;;EXS;EXS
0963-5742;;Newsletter;Newsl Int Acad Periodontol
1062-5364;;Trends in health care;Trends Health Care Law Ethics
0964-3397;1532-4036;Intensive;Intensive Crit Care Nurs
0007-4888;1573-8221;Bulletin of experimental biology and medicine;Bull
1121-418X;;Giornale di endodonzia;G Endodonzia
0964-2633;1365-2788;Journal of intellectual disability research;J Intellect Disabil Res
0803-5253;1651-2227;Acta paediatrica;Acta Paediatr
1018-8916;;Natural immunity;Nat
1048-9886;;Journal of the Association for Academic Minority Physicians;J Assoc Acad Minor Phys
0923-9820;1572-9729;Biodegradation;Biodegradation
0046-3515;;Bulletin de la Federation des societes de gynecologie et dobstetrique de langue francaise;Bull Fed Soc Gynecol Obstet Lang Fr
0923-179X;;Bioseparation;Bioseparation
1058-0468;1573-7330;Journal of assisted reproduction and genetics;J
0195-4210;;Proceedings;Proc Annu Symp Comput Appl Med Care
0898-6622;;Bulletin;Bull Am Assoc Hist Nurs
0071-9544;;The Bulletin of the Fifth District Dental Society;Bull Fifth Dist Dent Soc
1059-8405;1546-8364;The Journal of school nursing;J Sch Nurs
0941-293X;1433-0423;Der Ophthalmologe;Ophthalmologe
0395-3890;;Bulletin europeen de physiopathologie respiratoire;Bull Eur Physiopathol Respir
1036-7314;;Australian critical care;Aust Crit Care
1330-0164;1848-8897;Acta medica Croatica;Acta Med Croatica
1056-8700;1545-4266;Annual review of biophysics and biomolecular structure;Annu Rev Biophys Biomol Struct
0931-6965;;Praktische Kieferorthopadie;Prakt Kieferorthop
0964-4156;;Professional care of mother and child;Prof Care Mother Child
1037-6178;;Contemporary nurse;Contemp Nurse
0998-3392;;Clinic odontologia;Clin Odontol
0941-0198;;The Clinical investigator;Clin Investig
0713-3936;1929-7084;Canadian journal of community mental health;Can J Commun Ment Health
1051-984X;;Medical design and material;Med Des Mater
0899-6237;;Rehab management;Rehab Manag
0887-7971;;American journal of cardiac imaging;Am J Card Imaging
1042-9646;;Contemporary internal medicine;Contemp Intern Med
8750-0507;;Contemporary pediatrics;Contemp Pediatr
1042-2250;;Contemporary urology;Contemp Urol
1040-0257;;The Journal of critical illness;J Crit Illn
0743-6661;;Journal of insurance medicine;J Insur Med
0885-0666;1525-1489;Journal of intensive care medicine;J Intensive Care Med
0896-4327;1540-8183;Journal of interventional cardiology;J Interv Cardiol
0898-4921;1537-1921;Journal of neurosurgical anesthesiology;J Neurosurg Anesthesiol
0303-7479;;Bulletin de Groupement europeen pour la recher che scientifique en stomatologie;Bull Group Eur Rech Sci Stomatol Odontol
1058-7845;;LMT;LMT
1066-906X;;Healthcare information management;Healthc Inf Manage
0103-6440;1806-4760;Brazilian dental journal;Braz Dent J
1050-5261;;Antisense research and development;Antisense Res
0533-3288;;Bulletin du Groupement international pour la recherche scientifique en stomatologie;Bull Group Int Rech Sci Stomatol
1047-3211;1460-2199;Cerebral cortex;Cereb
1354-5752;2047-8984;Emergency nurse;Emerg Nurse
0188-4409;1873-5487;Archives of medical research;Arch
0966-0844;1572-8773;Biometals;Biometals
1003-5370;;Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi;Zhongguo Zhong Xi Yi Jie He Za Zhi
0966-0461;;British journal of nursing;Br J Nurs
1065-2418;;Periodontal clinical investigations;Periodontal Clin Investig
0250-4693;1647-1377;Bulletin du Groupement international pour la recherche scientifique en stomatologie;Bull Group Int Rech Sci Stomatol Odontol
0007-5132;;Bulletin of the history of dentistry;Bull Hist Dent
1012-5655;;Bildgebung;Bildgebung
0269-3879;1099-0801;Biomedical chromatography;Biomed
0007-5140;1086-3176;Bulletin of the history of medicine;Bull Hist Med
0887-6134;;Biomedical;Biomed
0891-0049;;Population reports;Popul Rep D
0940-2993;1618-1433;Experimental and toxicologic pathology;Exp
0891-978X;;Biorheology;Biorheology Suppl
0740-7378;;Biotechnology;Biotechnology
0075-4331;;Journal of periodontal research;J Periodontal Res Suppl
1019-8466;1424-5493;Infusionstherapie und Transfusionsmedizin;Infusionsther Transfusionsmed
0112-7438;;Nursing praxis in New Zealand inc;Nurs Prax N Z
0026-5586;;MNA accent;MNA Accent
0836-7310;;Concern;Concern
1065-0989;;Topics in health information management;Top Health Inf Manage
1018-2438;1423-0097;International archives of allergy and immunology;Int
0030-0128;;The Office;Office
0959-9851;1619-1560;Clinical autonomic research;Clin
0959-437X;1879-0380;Current opinion in genetics;Curr
0952-0481;;British journal of addiction;Br J Addict
0959-4388;1873-6882;Current opinion in neurobiology;Curr
1044-6672;;Developmental immunology;Dev
1120-6721;1724-6016;European journal of ophthalmology;Eur J Ophthalmol
0924-977X;1873-7862;European neuropsychopharmacology;Eur Neuropsychopharmacol
1052-2166;;Gene expression;Gene Expr
0282-0080;1573-4986;Glycoconjugate journal;Glycoconj
0883-9344;;Bulletin of the Hospital for Joint Diseases Orthopaedic Institute;Bull Hosp Jt Dis Orthop Inst
0925-2738;1573-5001;Journal of biomolecular NMR;J
1053-4245;1476-5519;Journal of exposure analysis and environmental epidemiology;J Expo Anal Environ Epidemiol
0895-0172;1545-7222;The Journal of neuropsychiatry and clinical neurosciences;J Neuropsychiatry Clin Neurosci
0899-3289;;Journal of substance abuse;J Subst Abuse
0931-2838;;Journal of trace elements and electrolytes in health and disease;J Trace Elem Electrolytes Health Dis
0960-8931;1473-5636;Melanoma research;Melanoma Res
0960-8966;1873-2364;Neuromuscular disorders;Neuromuscul
1042-3680;1558-1349;Neurosurgery clinics of North America;Neurosurg
1040-4651;1532-298X;The Plant cell;Plant Cell
1046-5928;1096-0279;Protein expression and purification;Protein Expr
1050-7256;1557-9077;Thyroid;Thyroid
0037-7791;1533-8533;Social problems;Soc Probl
1049-3867;1878-4321;Women;Womens Health Issues
0018-7011;;Bulletin;Bull Hudson Cty Dent Soc
1188-3669;;Leadership in health services;Leadersh Health Serv
0942-8992;;European archives of oto;Eur Arch Otorhinolaryngol Suppl
1018-8843;1423-0011;Gynakologisch;Gynakol Geburtshilfliche Rundsch
1223-3056;;Pneumoftiziologia;Pneumoftiziologia
0037-9085;;Bulletin de la Societe de pathologie exotique;Bull Soc Pathol Exot
0366-4236;;Bulletin of hygiene;Bull Hyg
0927-5401;;Clinical trials and meta;Clin Trials Metaanal
0007-4470;;Bulletin des infirmieres catholiques du Canada;Bull Infirm Cathol Can
0289-2863;;Sei Roka Kango Daigaku kiyo;Seiroka Kango Daigaku Kiyo
1060-3271;;Journal of AOAC International;J AOAC Int
1359-6640;;Faraday discussions;Faraday Discuss
0324-8542;;Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia;Bull Inst Marit Trop Med Gdynia
1072-754X;;The Dental assistant journal;Dent Assist J
1062-8606;1555-824X;American journal of medical quality;Am J Med Qual
0890-3255;;The Birth gazette;Birth Gaz
0867-8383;;Polish journal of occupational medicine and environmental health;Pol J Occup Med Environ Health
0869-6047;;Vestnik Rossiiskoi akademii meditsinskikh nauk;Vestn
0891-0030;;Population reports;Popul Rep C
0748-383X;;Health matrix;Health Matrix Clevel
1320-2340;;Australian dental practice;Aust Dent Pract
0965-9986;;Dental world;Dent World
0009-4064;;Children;Children
0939-1983;;Archives of virology;Arch
1058-7829;;Strategies for healthcare excellence;Strateg Healthc Excell
1053-5632;;Contract design;Contract Des
1072-8929;;ASHA;ASHA Suppl
0730-2347;1526-6702;Texas Heart Institute journal;Tex Heart Inst J
0008-350X;1715-5258;Canadian family physician Medecin de famille canadien;Can Fam Physician
0929-6646;;Journal of the Formosan Medical Association;J
0268-960X;1532-1681;Blood reviews;Blood Rev
0020-3955;;Bulletin of the Institute for Medical Research;Bull Inst Med Res Univ Madr
1011-789X;;Bulletin of the International Union against Tuberculosis and Lung Disease;Bull
0926-6410;;Brain research;Brain Res Cogn Brain Res
0553-2469;;Bulletin de l;Bull Inst Natl Sante Rech Med
0965-2140;1360-0443;Addiction;Addiction
1074-4797;2040-0861;Journal of healthcare risk management;J Healthc Risk Manag
0074-9249;;Bulletin of the International Union against Tuberculosis;Bull Int Union Tuberc
0967-4845;;British journal of biomedical science;Br
0885-8144;;Reflections;Reflections
1045-5485;;Nurse practitioner forum;Nurse Pract Forum
1055-7601;;Anesthesia;Anesth Pain Control Dent
1062-9769;;The Quarterly review of economics and finance;Q Rev Econ Finance
0169-6009;;Bone and mineral;Bone Miner
0959-8138;1756-1833;BMJ;BMJ
0018-5647;;Bulletin;Bull Hosp Jt Dis
0869-2092;;Eksperimental;Eksp Klin Farmakol
1066-2936;;Undersea;Undersea Hyperb Med
0301-2662;;Josai Shika Daigaku kiyo;Josai Shika Daigaku Kiyo
0942-8925;1432-0509;Abdominal imaging;Abdom Imaging
0964-1955;1878-6766;European journal of cancer;Eur
0343-8651;1432-0991;Current microbiology;Curr
0289-0003;;Zoological science;Zool
1048-2687;;CRNA;CRNA
1061-3706;;Journal of case management;J Case Manag
1066-5099;1549-4918;Stem cells;Stem Cells
1067-8530;;Spectrum;Spectrum
0967-3334;1361-6579;Physiological measurement;Physiol Meas
1057-8323;;Nursing staff development insider;Nurs Staff Dev Insid
0869-5652;;Doklady Akademii nauk;Dokl
0145-5680;1165-158X;Cellular and molecular biology;Cell
0076-0951;;Bulletin of the Los Angeles Dental Society;Bull Los Angeles Dent Soc
1026-3470;;Izvestiia Akademii nauk;Izv
0032-0935;1432-2048;Planta;Planta
0959-2989;1878-3619;Bio;Biomed Mater Eng
0898-2848;;Biotechnology therapeutics;Biotechnol Ther
1055-9965;1538-7755;Cancer epidemiology;Cancer Epidemiol
0024-659X;;Bulletin of the Los Angeles neurological societies;Bull Los Angeles Neurol Soc
1013-9982;;Cytokines;Cytokines
1049-510X;;Ethnicity;Ethn Dis
0959-8278;1473-5709;European journal of cancer prevention;Eur
0941-2921;;German journal of ophthalmology;Ger J Ophthalmol
0956-523X;;Growth regulation;Growth Regul
1042-8194;1029-2403;Leukemia;Leuk
1057-2805;;Molecular genetic medicine;Mol
0025-4843;;Bulletin of the Massachusetts Nurses Association;Bull Mass Nurses Assoc
0970-258X;;The National medical journal of India;Natl Med J India
0197-0186;1872-9754;Neurochemistry international;Neurochem
1054-9803;;PCR methods and applications;PCR Methods Appl
0961-8368;1469-896X;Protein science;Protein Sci
1052-8040;;Receptor;Receptor
1055-6818;;Nursing quality connection;Nurs Qual Connect
1054-7738;1552-3799;Clinical nursing research;Clin Nurs Res
1064-6655;1945-3396;Journal of orofacial pain;J Orofac Pain
1188-4169;1481-8531;Canada communicable disease report;Can
1210-7778;;Central European journal of public health;Cent
0928-1231;1573-739X;Pharmacy world;Pharm World Sci
0248-4900;1768-322X;Biology of the cell;Biol
1039-9712;;Biochemistry and molecular biology international;Biochem
0092-8240;1522-9602;Bulletin of mathematical biology;Bull
0100-879X;1414-431X;Brazilian journal of medical and biological research;Braz
0007-4985;;The Bulletin of mathematical biophysics;Bull Math Biophys
0300-5364;;British journal of audiology;Br J Audiol
0143-764X;;British journal of audiology;Br J Audiol Suppl
0144-6657;;The British journal of clinical psychology;Br J Clin Psychol
1068-1124;;Journal of healthcare design;J Healthc Des
0867-7077;;Pneumonologia i alergologia polska;Pneumonol Alergol Pol
0268-3369;1476-5365;Bone marrow transplantation;Bone Marrow Transplant
0969-8051;1872-9614;Nuclear medicine and biology;Nucl
1067-2214;;Health care reform week;Health Care Reform Week
1220-4749;;Romanian journal of internal medicine;Rom J Intern Med
1066-7814;1543-2718;Canadian journal of applied physiology;Can J Appl Physiol
0025-7338;;Bulletin of the Medical Library Association;Bull Med Libr Assoc
0377-8231;;Bulletin et memoires de l;Bull
1066-2944;;AWHONN voice;AWHONN Voice
