issn;e_issn;title;short_title;period;publisher
0010-8847;;CORNELL LAW REVIEW;CORNELL LAW REV;Bimonthly;CORNELL LAW REVIEW, CORNELL LAW SCHOOL, ITHACA, USA, NY, 14853-4901
0954-6928;1473-5830;CORONARY ARTERY DISEASE;CORON ARTERY DIS;Bimonthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
0964-8410;1467-8683;CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1363-3589;1479-1889;CORPORATE REPUTATION REVIEW;;Quarterly;PALGRAVE MACMILLAN LTD, BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS
1535-3958;1535-3966;CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1613-7027;1613-7035;CORPUS LINGUISTICS AND LINGUISTIC THEORY;;Semiannual;DE GRUYTER MOUTON, GENTHINER STRASSE 13, BERLIN, GERMANY, 10785
2100-9619;;CORRESPONDANCES EN METABOLISMES HORMONES DIABETES ET NUTRITION;;Bimonthly;EDIMARK SANTE, 2 RUE SAINTE-MARIE, COURBEVOIE CEDEX, FRANCE, 92418
0010-9312;;CORROSION;;Monthly;NATL ASSOC CORROSION ENG, 1440 SOUTH CREEK DRIVE, HOUSTON, USA, TX, 77084-4906
1478-422X;1743-2782;CORROSION ENGINEERING SCIENCE AND TECHNOLOGY;;Bimonthly;MANEY PUBLISHING, STE 1C, JOSEPHS WELL, HANOVER WALK, LEEDS, ENGLAND, W YORKS, LS3 1AB
0334-6005;;CORROSION REVIEWS;;Bimonthly;WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785
0010-938X;1879-0496;CORROSION SCIENCE;CORROS SCI;Monthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
0010-9452;1973-8102;CORTEX;CORTEX;Monthly;ELSEVIER MASSON, VIA PALEOCAPA 7, MILANO, ITALY, 20121
1041-3766;;COSMETIC DERMATOLOGY;;Monthly;QUADRANT HEALTHCOM INC, 7 CENTURY DRIVE, STE 302, PARSIPPANY, USA, NJ, 07054-4603
0361-4387;;COSMETICS & TOILETRIES;;Monthly;ALLURED PUBL CORP, 362 S SCHMALE RD, CAROL STREAM, USA, IL, 60188-2787
0010-9525;1608-3075;COSMIC RESEARCH;;Bimonthly;MAIK NAUKA/INTERPERIODICA/SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013-1578
1157-4402;;COSSMANNIANA;;Irregular;GROUPE ETUDE RECHERCHE MACROFAUNE CENOZOIQUE, C/O MICHEL MAZET, SECRETAIRE, 212, AVE DE LA DIVISION LECLERC, MONTMORENCY, FRANCE, F-95160
1240-3164;;COSSMANNIANA HORS-SERIE;;Irregular;GROUPE ETUDE RECHERCHE MACROFAUNE CENOZOIQUE, C/O MICHEL MAZET, SECRETAIRE, 212, AVE DE LA DIVISION LECLERC, MONTMORENCY, FRANCE, F-95160
1353-985X;;COTINGA;;Semiannual;NEOTROPICAL BIRD CLUB, C/O THE LODGE, SANDY, ENGLAND, BEDS., SG19 2DL
1057-7017;;COUNCIL FOR AGRICULTURAL SCIENCE AND TECHNOLOGY TASK FORCE REPORT;;Semiannual;COUNCIL FOR AGRICULTURAL SCIENCE & TECHNOLOGY, 4420 W LINCOLN WAY, AMES, USA, IA, 50014-3447
1681-6099;;COUNCIL FOR GEOSCIENCE GEOLOGICAL SURVEY OF SOUTH AFRICA MEMOIR;;Irregular;COUNCIL GEOSCIENCE, 280 PRETORIA STREET, PRETORIA, SOUTH AFRICA, 1
0252-0575;;COUNCIL OF EUROPE NATURE AND ENVIRONMENT SERIES;;Irregular;COUNCIL EUROPE PUBLISHING, STRASBOURG, FRANCE, F-67075
0011-0000;;COUNSELING PSYCHOLOGIST;COUNS PSYCHOL;Bimonthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
1532-687X;1539-6630;CR-THE NEW CENTENNIAL REVIEW;;Tri-annual;MICHIGAN STATE UNIV PRESS, 1405 SOUTH HARRISON RD, STE 25 MANLY MILES BUILDING, E LANSING, USA, MI, 48823-5202
0886-9634;;CRANIO-THE JOURNAL OF CRANIOMANDIBULAR PRACTICE;CRANIO;Quarterly;MANEY PUBLISHING, STE 1C, JOSEPHS WELL, HANOVER WALK, LEEDS, ENGLAND, W YORKS, LS3 1AB
0923-5647;;CRANIUM;;Semiannual;WERKGROEP PLEISTOCENE ZOOGDIEREN, C/O W. M. S. VAN LOGCHEM (SECRETARY/TREASURER), BOSUILSTRAAT 12, CULEMBORG, NETHERLANDS, NL-4105 WE
1021-9706;;CRATSCHLA;;Semiannual;EIDGENOESSISCHE NATIONALPARKKOMMISSION ENPK, SCHWEIZERISCHER NATIONALPARK, CHASA DAL PARC, ZERNEZ, SWITZERLAND, CH-7530
0092-9166;;CREATION RESEARCH SOCIETY QUARTERLY;;Quarterly;CREATION RESEARCH SOC, 6801 N. HIGHWAY 89, CHINO VALLEY, USA, AZ, 86323
0963-1690;1467-8691;CREATIVITY AND INNOVATION MANAGEMENT;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1040-0419;1532-6934;CREATIVITY RESEARCH JOURNAL;CREAT RES J;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0195-6671;1095-998X;CRETACEOUS RESEARCH;;Bimonthly;ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX
1268-7685;;CREX;;Annual;LPO ANJOU, 84 RUE BLAISE PASCAL, ANGERS, FRANCE, 49000
0011-1287;;CRIME & DELINQUENCY;CRIME DELINQ;Bimonthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
0192-3234;;CRIME AND JUSTICE-A REVIEW OF RESEARCH;;Semiannual;UNIV CHICAGO PRESS, 1427 E 60 ST, CHICAGO, USA, IL, 60637
0925-4994;;CRIME LAW AND SOCIAL CHANGE; LAW;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
1741-6590;1741-6604;CRIME MEDIA CULTURE; MEDIA;Tri-annual;SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP
0957-9664;1471-2857;CRIMINAL BEHAVIOUR AND MENTAL HEALTH;CRIM BEHAV MENT HEALTH;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0093-8548;;CRIMINAL JUSTICE AND BEHAVIOR;CRIM JUSTICE BEHAV;Monthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
0011-135X;;CRIMINAL LAW REVIEW;;Monthly;SWEET MAXWELL LTD, NORTH WAY, ANDOVER, ENGLAND, HANTS, SP10 5BE
0011-1384;;CRIMINOLOGY;CRIMINOLOGY;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1748-8958;1748-8966;CRIMINOLOGY & CRIMINAL JUSTICE;CRIMINOL CRIM JUSTICE;Bimonthly;SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP
1538-6473;1745-9133;CRIMINOLOGY & PUBLIC POLICY;CRIMINOL PUBLIC POLICY;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0227-5910;;CRISIS-THE JOURNAL OF CRISIS INTERVENTION AND SUICIDE PREVENTION;CRISIS;Bimonthly;HOGREFE & HUBER PUBLISHERS, ROHNSWEG 25, GOTTINGEN, GERMANY, D-37085
0011-1511;;CRITICA D ARTE;;Tri-annual;CASA EDITRICE LE LETTERE, PIAZZA DEI NERLI 8, FLORENCE, ITALY, 50124
0278-7261;;CRITICA HISPANICA;;Semiannual;CRITICA HISPANICA, DUQUESNE UNIV, DEPT MODERN LANGUAGE, 201 DES PLACES, PITTSBURGH, USA, PA, 15282
0390-0142;2035-2638;CRITICA LETTERARIA;;Quarterly;CASA EDITRICE LOFFREDO LUIGI, VIA CONSALVO 99/4 PARCO S.LUIGI IS.D, NAPLES, ITALY, 80126
0011-1503;;CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA;CRITICA;Tri-annual;CRITICA, APARTADO 70-447, MEXICO CITY, MEXICO, 04510
0256-0046;1992-6049;CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES;;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1467-2715;1472-6033;CRITICAL ASIAN STUDIES;CRIT ASIAN STUD;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1466-609X;1466-609X;CRITICAL CARE;CRIT CARE;Bimonthly;BIOMED CENTRAL LTD, 236 GRAYS INN RD, FLOOR 6, LONDON, ENGLAND, WC1X 8HL
1441-2772;;CRITICAL CARE AND RESUSCITATION;CRIT CARE RESUSC;Quarterly;AUSTRALASIAN MED PUBL CO LTD, LEVEL 2, 26-32 PYRMONT BRIDGE RD, PYRMONT, AUSTRALIA, NSW, 2009
0749-0704;1557-8232;CRITICAL CARE CLINICS;CRIT CARE CLIN;Quarterly;W B SAUNDERS CO-ELSEVIER INC, 1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899
0090-3493;1530-0293;CRITICAL CARE MEDICINE;CRIT CARE MED;Monthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
0279-5442;1940-8250;CRITICAL CARE NURSE;CRIT CARE NURSE;Bimonthly;AMER ASSOC CRITICAL CARE NURSES, 101 COLUMBIA, ALISO VIEJO, USA, CA, 92656
0899-5885;1558-3481;CRITICAL CARE NURSING CLINICS OF NORTH AMERICA;CRIT CARE NURS CLIN NORTH AM;Quarterly;W B SAUNDERS CO-ELSEVIER INC, 1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899
1205-8629;1572-9877;CRITICAL CRIMINOLOGY;;Quarterly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
1740-5904;1740-5912;CRITICAL DISCOURSE STUDIES;;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0093-1896;;CRITICAL INQUIRY;CRIT INQ;Quarterly;UNIV CHICAGO PRESS, 1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954
1045-2354;1095-9955;CRITICAL PERSPECTIVES ON ACCOUNTING;;Bimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0958-1596;;CRITICAL PUBLIC HEALTH;CRIT PUBLIC HEALTH;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0011-1562;1467-8705;CRITICAL QUARTERLY;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0891-3811;1933-8007;CRITICAL REVIEW;CRIT REV (N Y);Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1040-8347;1547-6510;CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY;;Quarterly;TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106
1040-9238;1549-7798;CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY;CRIT REV BIOCHEM MOL BIOL;Bimonthly;INFORMA HEALTHCARE, TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON, ENGLAND, EC2A 4LQ
0278-940X;1943-619X;CRITICAL REVIEWS IN BIOMEDICAL ENGINEERING;CRIT REV BIOMED ENG;Bimonthly;BEGELL HOUSE INC, 50 CROSS HIGHWAY, REDDING, USA, CT, 06896
0738-8551;1549-7801;CRITICAL REVIEWS IN BIOTECHNOLOGY;CRIT REV BIOTECHNOL;Quarterly;INFORMA HEALTHCARE, TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON, ENGLAND, EC2A 4LQ
1040-8363;1549-781X;CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES;CRIT REV CLIN LAB SCI;Bimonthly;INFORMA HEALTHCARE, TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON, ENGLAND, EC2A 4LQ
1064-3389;;CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY;CRIT REV ENVIRON SCI TECHNOL;Semimonthly;TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106
1045-4403;;CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION;CRIT REV EUKARYOT GENE EXPR;Tri-annual;BEGELL HOUSE INC, 50 CROSS HIGHWAY, REDDING, USA, CT, 06896
1040-8398;1549-7852;CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION;CRIT REV FOOD SCI NUTR;Monthly;TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106
1040-8401;;CRITICAL REVIEWS IN IMMUNOLOGY;CRIT REV IMMUNOL;Bimonthly;BEGELL HOUSE INC, 50 CROSS HIGHWAY, REDDING, USA, CT, 06896
1040-841X;1549-7828;CRITICAL REVIEWS IN MICROBIOLOGY;CRIT REV MICROBIOL;Quarterly;INFORMA HEALTHCARE, 52 VANDERBILT AVE, NEW YORK, USA, NY, 10017
0893-9675;;CRITICAL REVIEWS IN ONCOGENESIS;CRIT REV ONCOG;Quarterly;BEGELL HOUSE INC, 50 CROSS HIGHWAY, REDDING, USA, CT, 06896
1040-8428;1879-0461;CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY;CRIT REV ONCOL HEMATOL;Monthly;ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, USA, NY, 10010-1710
0735-2689;;CRITICAL REVIEWS IN PLANT SCIENCES;CRC CRIT REV PLANT SCI;Bimonthly;TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106
1040-8436;1547-6561;CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES;;Bimonthly;TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106
0743-4863;2162-660X;CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS;CRIT REV THER DRUG CARRIER SYST;Bimonthly;BEGELL HOUSE INC, 50 CROSS HIGHWAY, REDDING, USA, CT, 06896
1040-8444;1547-6898;CRITICAL REVIEWS IN TOXICOLOGY;CRIT REV TOXICOL;Monthly;INFORMA HEALTHCARE, TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON, ENGLAND, EC2A 4LQ
0261-0183;1461-703X;CRITICAL SOCIAL POLICY;;Quarterly;SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP
0896-9205;;CRITICAL SOCIOLOGY;CRIT SOCIOL (EUGENE);Bimonthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
1750-8487;1750-8495;CRITICAL STUDIES IN EDUCATION;;Tri-annual;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1529-5036;1479-5809;CRITICAL STUDIES IN MEDIA COMMUNICATION;;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0011-1589;1536-0342;CRITICISM-A QUARTERLY FOR LITERATURE AND THE ARTS;;Quarterly;WAYNE STATE UNIV PRESS, 4809 WOODWARD AVE, DETROIT, USA, MI, 48201-1309
0011-1600;;CRITIQUE;;Monthly;EDITIONS MINUIT, 7 RUE BERNARD-PALISSY, PARIS, FRANCE, 75006
0308-275X;;CRITIQUE OF ANTHROPOLOGY;CRIT ANTHROPOL;Quarterly;SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP
0011-1619;1939-9138;CRITIQUE-STUDIES IN CONTEMPORARY FICTION;;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1848-5189;;CROATIAN JOURNAL OF EDUCATION-HRVATSKI CASOPIS ZA ODGOJ I OBRAZOVANJE;;Quarterly;FAC TEACHER EDUCATION, UNIV ZAGREB, SAVSKA CESTA 77, ZAGREB, CROATIA, 00000
1845-5719;;CROATIAN JOURNAL OF FOREST ENGINEERING;;Semiannual;ZAGREB UNIV, FAC FORESTRY, SVETOSIMUNSKA 25, ZAGREB, CROATIA, HRVATSKA, 10000
1333-1108;1847-6139;CROATIAN JOURNAL OF PHILOSOPHY;;Tri-annual;KRUZAK D O O, NASEROV TRG 6, ZAGREB, CROATIA, 10020
0353-9504;1332-8166;CROATIAN MEDICAL JOURNAL;CROAT MED J;Bimonthly;MEDICINSKA NAKLADA, VLASKA 69, ZAGREB, CROATIA, HR-10000
0011-1643;;CROATICA CHEMICA ACTA;CROAT CHEM ACTA;Quarterly;CROATIAN CHEMICAL SOC, MARULICEV TRG 19/II, ZAGREB, CROATIA, 41001
1690-7892;;CROIZATIA;;Semiannual;UNIV NACIONAL EXPERIMENTAL, FRANCISCO DE MIRANDA, FALCON, VENEZUELA, 00000
0011-1783;;CRONACHE FARMACEUTICHE;;Bimonthly;SOC ITALIANA SCIENZE FARMACUETICHE, VIALE ABRUZZI, 32, MILAN, ITALY, 20131 MI
1836-0947;1836-5795;CROP & PASTURE SCIENCE;;Monthly;CSIRO PUBLISHING, UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, AUSTRALIA, VIC, 3168
1984-7033;1518-7853;CROP BREEDING AND APPLIED BIOTECHNOLOGY;;Quarterly;BRAZILIAN SOC PLANT BREEDING, UNIV FEDERAL VICOSA, VICOSA-MG, BRAZIL, 36 571-000
0256-0933;;CROP IMPROVEMENT;;Irregular;CROP IMPROVEMENT SOC INDIA, PUNJAB AGRICULTURAL UNIV, DEPT PLANT BREEDING, LUDHIANA, INDIA, 00000
0261-2194;;CROP PROTECTION;;Monthly;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0970-4884;;CROP RESEARCH-HISAR;;Bimonthly;GAURAV SOC AGRICULTURAL RESEARCH INFORMATION CENTRE-ARIC, C/O MRS. POONAM S CHAUDHARY, MANAGING DIRECTOR, SYSTAMATIC PRINTERS, MOHALLA UDAIPURIA, NEAR VIDEO, HISAR, INDIA, HARYANA, 00000
0011-183X;;CROP SCIENCE;CROP SCI;Bimonthly;CROP SCIENCE SOC AMER, 677 S SEGOE ROAD, MADISON, USA, WI, 53711
1352-7606;1758-6089;CROSS CULTURAL MANAGEMENT-AN INTERNATIONAL JOURNAL;;Quarterly;EMERALD GROUP PUBLISHING LIMITED, HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA
1069-3971;1552-3578;CROSS-CULTURAL RESEARCH;CROSS CULT RES;Bimonthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
0891-9100;;CROSSOSOMA;;Semiannual;SOUTHERN CALIFORNIA BOTANISTS, INC, CALIFORNIA STATE UNIV, DEPT BIOLOGY, FULLERTON, USA, CA, 92834
0287-3478;;CRUSTACEAN RESEARCH;;Annual;CARCINOLOGICAL SOC JAPAN, C/O DEPT AQUATIC BIOSCIENCES, TOKYO UNIV FISHERIES, 4-5-7 KONAN, MINATO-KU, TOKYO, JAPAN, 108
0011-216X;;CRUSTACEANA;CRUSTACEANA;Monthly;BRILL ACADEMIC PUBLISHERS, PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA
0011-2240;1090-2392;CRYOBIOLOGY;CRYOBIOLOGY;Bimonthly;ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495
0011-2275;1879-2235;CRYOGENICS;CRYOGENICS (GUILDF);Monthly;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0143-2044;;CRYOLETTERS;CRYO LETTERS;Bimonthly;CRYO LETTERS, C/O ROYAL VETERINARY COLLEGE, ROYAL COLLEGE ST, LONDON, ENGLAND, NW1 0TU
1994-0416;1994-0424;CRYOSPHERE;;Irregular;COPERNICUS GESELLSCHAFT MBH, BAHNHOFSALLEE 1E, GOTTINGEN, GERMANY, 37081
0181-1568;;CRYPTOGAMIE ALGOLOGIE; ALGOLOGIE;Quarterly;ADAC-CRYPTOGAMIE, 12 RUE DE BUFFON, PARIS, FRANCE, 75005
1290-0796;1776-0992;CRYPTOGAMIE BRYOLOGIE; BRYOLOGIE;Quarterly;ADAC-CRYPTOGAMIE, 12 RUE DE BUFFON, PARIS, FRANCE, 75005
0181-1584;;CRYPTOGAMIE MYCOLOGIE; MYCOLOGIE;Quarterly;ADAC-CRYPTOGAMIE, 12 RUE DE BUFFON, PARIS, FRANCE, 75005
1936-2447;1936-2455;CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES;;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0161-1194;1558-1586;CRYPTOLOGIA;;Quarterly;TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106
1528-7483;1528-7505;CRYSTAL GROWTH & DESIGN;CRYST GROWTH DES;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
0232-1300;1521-4079;CRYSTAL RESEARCH AND TECHNOLOGY;;Monthly;WILEY-V C H VERLAG GMBH, BOSCHSTRASSE 12, WEINHEIM, GERMANY, D-69469
1063-7745;1562-689X;CRYSTALLOGRAPHY REPORTS;;Bimonthly;MAIK NAUKA/INTERPERIODICA/SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013-1578
0889-311X;1476-3508;CRYSTALLOGRAPHY REVIEWS;CRYSTALLOGR REV;Quarterly;TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN
2073-4352;;CRYSTALS;;Quarterly;MDPI AG, POSTFACH, BASEL, SWITZERLAND, CH-4005
1466-8033;;CRYSTENGCOMM;CRYSTENGCOMM;Monthly;ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF
1833-2331;;CSIRO MARINE AND ATMOSPHERIC RESEARCH PAPER;;Irregular;CSIRO MARINE & ATMOSPHERIC RES, CASTRAY ESPLANADE, HOBART, AUSTRALIA, TAS 7000
0122-5383;;CT&F-CIENCIA TECNOLOGIA Y FUTURO; TECNOLOGIA Y FUTURO;Annual;ECOPETROL SA, INST COLOMBIANO PETROLEO, CONSEJO EDITORIAL CT F, KILOMETRO 7 VIA BUCARAMANGA, BOGOTA, COLOMBIA, 00000
1752-8054;1752-8062;CTS-CLINICAL AND TRANSLATIONAL SCIENCE;CLIN TRANSL SCI;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1575-5495;;CUADERNOS DE BIODIVERSIDAD;;Tri-annual;UNIV ALICANTE, APARTADO DE CORREOS 99, ALICANTE, SPAIN, 3080
0122-1450;2215-7727;CUADERNOS DE DESARROLLO RURAL;;Semiannual;PONTIFICIA UNIV JAVARIANA, FAC ESTUDIOS AMBIENTALES & RURALES, INST ESTUDIOS RURALES, DEPT DESARROLLO RURAL & REGIONAL, TRANSVERSAL 4, N 42-00, PISO 8, BOGOTA DC, COLOMBIA, 00000
1852-5768;;CUADERNOS DE HERPETOLOGIA;;Semiannual;ASOC HERPETOL ARGENTINA, INSTIT HERPETOLOGIA, FUNDACION MIGUEL LILLO, MIGUEL LILLO, ARGENTINA, TUCUMAN, 251
1699-8693;;CUADERNOS DEL MUSEO GEOMINERO;;Irregular;INST GEOLOGICA MINERO ESPANA, MUSEO GEOMINERO, RIOS ROSAS, NO 23, MADRID, SPAIN, 28003
0011-250X;;CUADERNOS HISPANOAMERICANOS;CUAD HISPANOAM;Monthly;AGENCIA ESPANOLA COOPERACION INT DESARROLO-AECID, AVDA REYES CATOLICOS 4, MADRID, SPAIN, 28040
1562-6776;;CUADERNOS HOSPITAL DE CLINICAS;;Semiannual;UNIV MAYOR SAN ANDRES, FAC MED, SAAVEDRA AV NO 2246, MIRAFLORES, LA PAZ, BOLIVIA, 00000
1911-6470;;CUAJ-CANADIAN UROLOGICAL ASSOCIATION JOURNAL;;Bimonthly;CANADIAN UROLOGICAL ASSOCIATION, 185 DORVAL AVENUE, STE 401, DORVAL, CANADA, QC, H9S 5J9
1135-6405;1578-4118;CULTURA Y EDUCACION;;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1584-1057;2065-5002;CULTURA-INTERNATIONAL JOURNAL OF PHILOSOPHY OF CULTURE AND AXIOLOGY;;Semiannual;PETER LANG GMBH, EUROPAISCHER VERLAG WISSENSCHAFTEN, ESCHBORNER LANDSTRASSE 42-50, FRANKFURT AM MAIN, GERMANY, D-60489
1478-0038;1478-0046;CULTURAL & SOCIAL HISTORY;;Quarterly;BLOOMSBURY PUBLISHING  PLC, 50 BEDFORD SQ, LONDON, ENGLAND, WC1B 3DP
0886-7356;;CULTURAL ANTHROPOLOGY;CULT ANTHROPOL;Quarterly;SOC CULTURAL ANTHROPOLOGY, DUKE UNIV, 205 ERNESTINE FRIEDL BUILDING, CAMPUS BOX 90091, DURHAM, USA, NC, 2770
0882-4371;1534-5203;CULTURAL CRITIQUE;;Tri-annual;UNIV MINNESOTA PRESS, MILL PLACE, SUITE 290 111 THIRD AVE S, MINNEAPOLIS, USA, MN, 55401-2520
