title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope;
Quaderni di clinica ostetrica e ginecologica;Quad Clin Ostet Ginecol;0033-491X;;;;;;;;;
Quaderni di radiologia;Quad Radiol;0048-6086;;;;;;;;;
Quintessence international;Quintessence Int;0033-6572;1936-7163;;;;;;;;
Die Quintessenz;Quintessenz;0033-6580;;;;;;;;;
Quintessenz Journal;Quintessenz J;0033-6599;;;;;;;;;
Quaderni di criminologia clinica;Quad Criminol Clin;0033-4928;;;;;;;;;
Quaderni Sclavo di diagnostica clinica e di laboratorio;Quad Sclavo Diagn;0033-4979;;;;;;;;;
La Quintessenza;Quintessenza;0390-6841;;;;;;;;;
The Royal Canadian Dental Corps quarterly;R Can Dent Corps Q;0557-3890;;;;;;;;;
Die Quintessenz der Zahntechnik;Quintessenz Zahntech;0340-4641;;;;;;;;;
Royal Society of Health journal;R Soc Health J;0035-9130;;;;;;;;;
Radovi Medicinskog faculteta u Zagrebu;Rad Med Fak Zagrebu;0033-8575;;;;;;;;;
Radiation data and reports;Radiat Data Rep;0091-6722;;;;;;;;;
Radiation and environmental biophysics;Radiat Environ Biophys;0301-634X;1432-2099;;;;;;;;
Radiation research;Radiat;0033-7587;1938-5404;;;;;;;;
Radiation research;Radiat Res Suppl;0485-8611;;;;;;;;;
Radiobiologia;Radiobiol Radioter Fis Med;0033-8176;;;;;;;;;
Radiobiologia;Radiobiol Radiother;0033-8184;;;;;;;;;
Radiobiologiia;Radiobiologiia;0033-8192;;;;;;;;;
Radiography;Radiography;0033-8281;;;;;;;;;
Radiologia clinica;Radiol Clin;0376-6748;;;;;;;;;
Radiologia clinica et biologica;Radiol Clin Biol;0033-8346;;;;;;;;;
Radiologic clinics of North America;Radiol;0033-8389;1557-8275;;;;;;;;
Radiologia diagnostica;Radiol Diagn;0033-8354;;;;;;;;;
Radiological health data and reports;Radiol Health Data Rep;0033-8400;;;;;;;;;
Radiologic technology;Radiol Technol;0033-8397;1943-5657;;;;;;;;
Der Radiologe;Radiologe;0033-832X;1432-2102;;;;;;;;
Radiology;Radiology;0033-8419;1527-1315;;;;;;;;
Radiology management;Radiol Manage;0198-7097;;;;;;;;;
Rassegna clinico;Rass Clin Sci;0370-4165;;;;;;;;;
La Rassegna di clinica;Rass Clin Ter;0370-4181;;;;;;;;;
Rassegna di dermatologia e di sifilografia;Rass Dermatol Sifilogr;0033-9490;;;;;;;;;
Acta histochemica;Acta Histochem;0567-7556;;;;;;;;;
Quintessenz;Quintessenz Impulse;0931-8259;;;;;;;;;
Rassegna di fisiopatologia clinica e terapeutica;Rass Fisiopatol Clin Ter;0033-9520;;;;;;;;;
Rassegna internazionale di clinica e terapia;Rass Int Clin Ter;0033-9695;;;;;;;;;
Rassegna internazionale di stomatologia pratica;Rass Int Stomatol Prat;0033-9717;;;;;;;;;
Research in health economics;Res Health Econ;0197-0690;;;;;;;;;
Rassegna medica sarda;Rass Med Sarda;0033-9776;;;;;;;;;
Rassegna di neurologia vegetativa;Rass Neurol Veg;0048-6752;;;;;;;;;
Rassegna di neuropsichiatria e scienze affini;Rass Neuropsichiatr;0048-6760;;;;;;;;;
Rassegna odontotecnica;Rass Odontotec;0048-6787;;;;;;;;;
The Regan report on nursing law;Regan Rep Nurs Law;0034-3196;;;;;;;;;
Rassegna di studi psichiatrici;Rass Studi Psichiatr;0033-9636;;;;;;;;;
Rassegna trimestrale di odontoiatria;Rass Trimest Odontoiatr;0033-9911;;;;;;;;;
Rational drug therapy;Ration Drug Ther;0031-7020;;;;;;;;;
Reanimation et organes artificiels;Reanim Organes Artif;0079-9904;;;;;;;;;
Respiratory care;Respir Care;0020-1324;1943-3654;;;;;;;;
The Reader;Read Dig;0034-0375;;;;;;;;;
Record of chemical progress;Rec Chem Prog;0034-1584;;;;;;;;;
Revista Argentina de microbiologia;Rev;0325-7541;;;;;;;;;
Rivista italiana degli odontotecnici;Riv Ital Odontotec;0391-5611;;;;;;;;;
Recent advances in biological psychiatry;Recent Adv Biol Psychiatry;0376-2122;;;;;;;;;
Recent advances in studies on cardiac structure and metabolism;Recent Adv Stud Cardiac Struct Metab;0363-5872;;;;;;;;;
Recent progress in hormone research;Recent Prog;0079-9963;;;;;;;;;
Recenti progressi in medicina;Recenti Prog Med;0034-1193;2038-1840;;;;;;;;
Recent results in cancer research;Recent Results Cancer Res;0080-0015;;;;;;;;;
Reconstruction surgery and traumatology;Reconstr Surg Traumatol;0080-0260;;;;;;;;;
Rehabilitation nursing;Rehabil Nurs;0278-4807;;;;;;;;;
Rehabilitation literature;Rehabil Lit;0034-3579;;;;;;;;;
Renal physiology;Ren Physiol;0378-5858;;;;;;;;;
Renal physiology and biochemistry;Ren;1011-6524;;;;;;;;;
Rehabilitation record;Rehabil Rec;0034-3587;;;;;;;;;
Rehabilitation;Rehabilitation;0048-7147;;;;;;;;;
Die Rehabilitation;Rehabilitation;0034-3536;1439-1309;;;;;;;;
Rein et foie;Rein Foie;0085-5464;;;;;;;;;
Reports on health and social subjects;Rep Health Soc Subj;0300-8045;;;;;;;;;
Iyo Kizai Kenkyujo hokoku;Tokyo Ika Shika Daigaku Iyo Kizai Kenkyusho Hokoku;0082-4739;;;;;;;;;
Reproduction;Reprod Nutr Dev;0181-1916;;;;;;;;;
Reports on population;Rep Popul Fam Plann;0079-3892;;;;;;;;;
Reports on public health and medical subjects;Rep Public Health Med Subj;0072-6117;;;;;;;;;
Reports on rheumatic diseases;Rep Rheum Dis;0048-7279;;;;;;;;;
Research and clinical studies in headache;Res Clin Stud Headache;0080-1453;;;;;;;;;
Research communications in chemical pathology and pharmacology;Res;0034-5164;;;;;;;;;
Advances in myocardiology;Adv Myocardiol;0270-4056;;;;;;;;;
Research in experimental medicine;Res Exp Med;0300-9130;;;;;;;;;
Research and statistics note;Res Stat Note;0566-0327;;;;;;;;;
Research on aging;Res Aging;0164-0275;1552-7573;;;;;;;;
Research progress in organic;Res Prog Org Biol Med Chem;0486-5111;;;;;;;;;
Research in immunology;Res;0923-2494;;;;;;;;;
Research in microbiology;Res;0923-2508;1769-7123;;;;;;;;
Research publications;Res Publ Assoc Res Nerv Ment Dis;0091-7443;;;;;;;;;
Research quarterly;Res Q;0034-5377;;;;;;;;;
Research quarterly for exercise and sport;Res Q Exerc Sport;0270-1367;;;;;;;;;
Research in reproduction;Res Reprod;0034-5253;;;;;;;;;
Research and statistics note;Res Stat Note Health Care Financ Adm Off Policy Plan Res;0196-1241;;;;;;;;;
Research in veterinary science;Res;0034-5288;1532-2661;;;;;;;;
Research in virology;Res;0923-2516;;;;;;;;;
Resenha clinico;Resen Clin Cient;0048-735X;;;;;;;;;
Residue reviews;Residue Rev;0080-181X;;;;;;;;;
Resources for biomedical research and education;Resour Biomed Res Educ;0090-4686;;;;;;;;;
Kokyu to junkan;Kokyu To Junkan;0452-3458;;;;;;;;;
Respiration physiology;Respir Physiol;0034-5687;;;;;;;;;
Respiration;Respiration;0025-7931;1423-0356;;;;;;;;
Respiratory therapy;Respir Ther;0048-7392;;;;;;;;;
Restaurants;Restaurants Inst;0273-5520;;;;;;;;;
Results and problems in cell differentiation;Results Probl Cell Differ;0080-1844;1861-0412;;;;;;;;
Resuscitation;Resuscitation;0300-9572;1873-1570;;;;;;;;
Retina;Retina;0275-004X;1539-2864;;;;;;;;
Reumatismo;Reumatismo;0048-7449;;;;;;;;;
Reumatizam;Reumatizam;0374-1338;;;;;;;;;
Reumatologia;Reumatologia;0034-6233;;;;;;;;;
ALAFO;ALAFO;0258-7459;;;;;;;;;
Review of allergy;Rev Allergy;0034-6411;;;;;;;;;
The Quarterly journal of experimental psychology;Q J Exp Psychol B;0272-4995;1464-1321;;;;;;;;
Rassegna penitenziaria e criminologica;Rass Penititenziaria Crim;0392-7156;;;;;;;;;
Radiation medicine;Radiat Med;0288-2043;1862-5274;;;;;;;;
Radiotherapy and oncology;Radiother Oncol;0167-8140;1879-0887;;;;;;;;
RDH;RDH;0279-7720;;;;;;;;;
Regulatory peptides;Regul Pept Suppl;0169-5134;;;;;;;;;
Reproduction;Reprod;1031-3613;;;;;;;;;
Revista da Associacao Medica Brasileira;Rev Assoc Med Bras;0004-5241;;;;;;;;;
Recent advances in nursing;Recent Adv Nurs;0144-6592;;;;;;;;;
Revista argentina de cirugia;Rev Argent Cir;0048-7600;;;;;;;;;
Research in nursing;Res Nurs Health;0160-6891;1098-240X;;;;;;;;
Recombinant DNA technical bulletin;Recomb DNA Tech Bull;0196-0229;;;;;;;;;
Rays;Rays;0390-7740;;;;;;;;;
Recent advances in clinical nuclear medicine;Recent Adv Clin Nucl Med;0308-2458;;;;;;;;;
Registered nurse;Regist Nurse;0840-8831;;;;;;;;;
Resident and staff physician;Resid Staff Physician;0034-5555;;;;;;;;;
Revista argentina de endocrinologia y metabolismo;Rev Argent Endocrinol Metab;0080-2077;;;;;;;;;
Report;Rep Comm Accredit Rehabil Facil;0045-7590;;;;;;;;;
Regulatory peptides;Regul;0167-0115;1873-1686;;;;;;;;
Record;Record;0160-0036;;;;;;;;;
Radioisotopes;Radioisotopes;0033-8303;1884-4111;;;;;;;;
Recruit;Recruit Retain;0278-2766;;;;;;;;;
Regulation;Regulation;0147-0590;;;;;;;;;
Regulatory toxicology and pharmacology;Regul;0273-2300;1096-0295;;;;;;;;
Report;Rep Group Adv Psychiatry;0888-3394;;;;;;;;;
Revista medica de Panama;Rev Med Panama;0379-1629;;;;;;;;;
Revista del Museo de la Facultad de Odontologia de Buenos Aires;Rev Museo Fac Odontol B Aires;0327-2745;;;;;;;;;
Reviews in clinical;Rev Clin Basic Pharm;0334-1534;;;;;;;;;
La Radiologia medica;Radiol Med;0033-8362;1826-6983;;;;;;;;
Revista argentina de urologia y nefrologia;Rev Argent Urol Nefrol;0048-7627;;;;;;;;;
Regional;Reg Anaesth;0171-1946;;;;;;;;;
Revista de la Asociacion Argentina de Microbiologia;Rev Asoc Argent Microbiol;0325-1713;;;;;;;;;
Reporter;Rep Del Nurses Assoc;0418-5412;;;;;;;;;
Reviews in pure;Rev Pure Appl Pharmacol Sci;0197-2839;;;;;;;;;
Renal failure;Ren Fail;0886-022X;1525-6049;;;;;;;;
Revista de la Asociacion Medica Argentina;Rev Asoc Med Argent;0004-4830;;;;;;;;;
Revista chilena de odontoestomatologia;Rev Chil Odontoestomatol;0716-4351;;;;;;;;;
Revista de la Asociacion Odontologica Argentina;Rev Asoc Odontol Argent;0004-4881;;;;;;;;;
Revista de la Asociacion Odontologica de Costa Rica;Rev Asoc Odontol Costa Rica;0066-8575;;;;;;;;;
Recent developments in alcoholism;Recent Dev Alcohol;0738-422X;;;;;;;;;
Rheumatic diseases clinics of North America;Rheum;0889-857X;1558-3163;;;;;;;;
AMB;AMB Rev Assoc Med Bras;0102-843X;;;;;;;;;
Revista da Faculdade de Farmacia e Odontologia de Ribeirao Preto;Rev Fac Farm Odontol Ribeiro Preto;0100-0160;;;;;;;;;
Radiographics;Radiographics;0271-5333;1527-1323;;;;;;;;
Revista de odontologia da Universidade de Sao Paulo;Rev Odontol Univ Sao Paulo;0103-0663;;;;;;;;;
Revista da Associacao Paulista de Cirurgioes Dentistas;Rev Assoc Paul Cir Dent;0004-5276;;;;;;;;;
Reviews of environmental contamination and toxicology;Rev Environ Contam Toxicol;0179-5953;;;;;;;;;
Restorative dentistry;Restorative Dent;0266-9315;;;;;;;;;
Revista espanola de endodoncia;Rev Esp Endodoncia;0212-4688;;;;;;;;;
Revista de la Facultad de Odontologia;Rev Fac Odontol Univ Chile;0716-8500;;;;;;;;;
Revisiones sobre biologia celular;Revis;0213-7119;;;;;;;;;
Respiratory management;Respir Manage;0892-9289;;;;;;;;;
Revue de l;Rev Atheroscler;0556-7459;;;;;;;;;
Revista da Faculdade de Odontologia de Ribeirao Preto;Rev Fac Odontol Ribeiro Preto;0102-129X;;;;;;;;;
Revista da Sociedade Brasileira de Medicina Tropical;Rev;0037-8682;1678-9849;;;;;;;;
Revista gaucha de enfermagem;Rev Gaucha Enferm;0102-6933;1983-1447;;;;;;;;
Revue belge de medecine dentaire;Rev Belge Med Dent;0775-3195;;;;;;;;;
Revista de actualidad estomatologica espanola;Rev Actual Estomatol Esp;0212-9701;;;;;;;;;
Revue belge de pathologie et de medecine experimentale;Rev Belg Pathol Med Exp;0370-3770;;;;;;;;;
Revue francaise d;Rev Fr Endod;0294-1813;;;;;;;;;
RN;RN;0885-8667;;;;;;;;;
Revista de la Facultad de Odontologia;Rev Fac Odontol Univ Nac;0325-1071;;;;;;;;;
Revue francaise des prothesistes dentaires;Rev Fr Prothes Dent;0242-1828;;;;;;;;;
Revista de biologia oral;Rev Biol Oral;0486-6622;;;;;;;;;
Revista de biologia tropical;Rev;0034-7744;2215-2075;;;;;;;;
Revista brasileira de anestesiologia;Rev Bras Anestesiol;0034-7094;1806-907X;;;;;;;;
Revista brasileira de biologia;Rev Bras Biol;0034-7108;;;;;;;;;
Revista brasileira de cirurgia;Rev Bras Cir;0034-7124;;;;;;;;;
Revista brasileira de enfermagem;Rev Bras Enferm;0034-7167;;;;;;;;;
Revista brasileira de gastroenterologia;Rev Bras Gastroenterol;0034-7221;;;;;;;;;
The Rhodesia nurse;Rhod Nurse;0250-4898;;;;;;;;;
Revista brasileira de leprologia;Rev Bras Leprol;0034-7248;;;;;;;;;
Revista brasileira de malariologia e doencas tropicais;Rev Bras Malariol Doencas Trop;0034-7256;;;;;;;;;
Risk analysis;Risk Anal;0272-4332;1539-6924;;;;;;;;
Research in developmental disabilities;Res Dev Disabil;0891-4222;1873-3379;;;;;;;;
R;R I Med J;0360-067X;;;;;;;;;
Rhode Island medical journal;R I Med J;0035-4627;;;;;;;;;
Revue de l;Rev Infirm Assist Soc;0397-7900;;;;;;;;;
Rivista europea per le scienze mediche e farmacologiche;Riv Eur Sci Med Farmacol;0392-291X;;;;;;;;;
Revista brasileira de medicina;Rev Bras Med;0034-7264;;;;;;;;;
Revista brasileira de odontologia;Rev Bras Odontol;0034-7272;;;;;;;;;
Revista brasileira de oftalmologia;Rev Bras Oftalmol;0034-7280;;;;;;;;;
Revista brasileira de pesquisas medicas e biologicas;Rev Bras Pesqui Med Biol;0034-7310;;;;;;;;;
Revue canadienne de biologie;Rev Can Biol;0035-0915;;;;;;;;;
Revue canadienne de biologie experimentale;Rev Can Biol Exp;0714-6140;;;;;;;;;
Revista Centro America odontologica;Rev Cent Am Odontol;0377-4694;;;;;;;;;
Revista latinoamericana de microbiologia y parasitologia;Rev Latinoam Microbiol Parasitol;0370-5986;;;;;;;;;
Revista chilena de obstetricia y ginecologia;Rev Chil Obstet Ginecol;0048-766X;0717-7526;;;;;;;;
Revista chilena de pediatria;Rev Chil Pediatr;0370-4106;0717-6228;;;;;;;;
Revista de chirurgie;Rev Chir Oncol Radiol O R L Oftalmol Stomatol Chir;0377-5003;;;;;;;;;
Respiratory medicine;Respir Med;0954-6111;1532-3064;;;;;;;;
Revista de chirurgie;Rev Chir Oncol Radiol O R L Oftalmol Stomatol Ser Oftalmol;0377-7863;;;;;;;;;
Revista de chirurgie;Rev Chir Oncol Radiol O R L Oftalmol Stomatol Otorinolaringol;1220-0867;;;;;;;;;
Revista de chirurgie;Rev Chir Oncol Radiol O R L Oftalmol Stomatol Ser Stomatol;0377-7871;;;;;;;;;
Revue de chirurgie orthopedique et reparatrice de l;Rev Chir Orthop Reparatrice Appar Mot;0035-1040;1776-2553;;;;;;;;
Revista de cirugia del Uruguay;Rev Cir Urug;0797-3403;;;;;;;;;
Revista;Rev Circ Argent Odontol;0325-7479;;;;;;;;;
Revista del Circulo Odontologico de Cordoba;Rev Circ Odontol Cordoba;0045-6942;;;;;;;;;
Revista Del Circulo Odontologico Del Sur;Rev Circ Odontol Sur;0034-902X;;;;;;;;;
Revista clinica espanola;Rev Clin Esp;0014-2565;1578-1860;;;;;;;;
Revista cubana de enfermeria;Rev Cubana Enferm;0864-0319;1561-2961;;;;;;;;
Revista del Colegio Estomatologico de Guatemala;Rev Col Estomatol Guatem;0069-5157;;;;;;;;;
RoFo;Rofo;1438-9029;1438-9010;;;;;;;;
Rivista di ostetricia ginecologia pratica e medicina perinatale;Riv Ostet Ginecol Prat Med Perinat;0391-0970;;;;;;;;;
Revista del Colegio Medico de Guatemala;Rev Col Med Guatem;0413-3137;;;;;;;;;
Revista colombiana de obstetricia y ginecologia;Rev Colomb Obstet Ginecol;0034-7434;;;;;;;;;
Revista colombiana de pediatria y puericultura;Rev Colomb Pediatr Pueric;0120-0402;;;;;;;;;
Revue des corps de sante des armees;Rev Corps Sante Armees Terre Mer Air;0035-1954;;;;;;;;;
Revista cubana de estomatologia;Rev Cubana Estomatol;0034-7507;;;;;;;;;
Revista cubana de medicina tropical;Rev Cubana Med Trop;0375-0760;1561-3054;;;;;;;;
Review of Czechoslovak medicine;Rev Czech Med;0034-6497;;;;;;;;;
The review of economics and statistics;Rev Econ Stat;0034-6535;1530-9142;;;;;;;;
Reviews on drug metabolism and drug interactions;Rev Drug Metab Drug Interact;0334-2190;;;;;;;;;
Revista dental;Rev Dent;0048-7767;;;;;;;;;
Revista dental de Chile;Rev Dent Chile;0034-9143;;;;;;;;;
Revue dentaire libanaise;Rev Dent Liban;0035-1873;;;;;;;;;
Revista ecuatoriana de higiene y medicina tropical;Rev Ecuat Hig Med Trop;0013-0745;;;;;;;;;
Revue d;Rev Electroencephalogr Neurophysiol Clin;0370-4475;;;;;;;;;
Revue d;Rev Elev Med Vet Pays Trop;0035-1865;1951-6711;;;;;;;;
Revista de enfermagem;Rev Enferm;0034-8090;;;;;;;;;
Revista enfermagem em novas dimensoes;Rev Enferm Nov Dimens;0100-2724;;;;;;;;;
Reviews on environmental health;Rev Environ Health;0048-7554;2191-0308;;;;;;;;
Revista da Escola de Enfermagem da U S P;Rev Esc Enferm USP;0080-6234;;;;;;;;;
Revue d;Rev Epidemiol Sante Publique;0398-7620;;;;;;;;;
Revista espanola de anestesiologia y reanimacion;Rev Esp Anestesiol Reanim;0034-9356;2340-3284;;;;;;;;
Revista brasileira de odontologia militar;Rev Bras Odontol Mil;0102-3942;;;;;;;;;
Revista espanola de cardiologia;Rev Esp Cardiol;0300-8932;1579-2242;;;;;;;;
Revista espanola de las enfermedades del aparato digestivo;Rev Esp Enferm Apar Dig;0034-9437;;;;;;;;;
Revista espanola de estomatologia;Rev Esp Estomatol;0484-7563;;;;;;;;;
Revista espanola de fisiologia;Rev;0034-9402;;;;;;;;;
Revista espanola de obstetricia y ginecologia;Rev Esp Obstet Ginecol;0034-9445;;;;;;;;;
Revista espanola de oncologia;Rev Esp Oncol;0482-640X;;;;;;;;;
Revista espanola de oto;Rev Esp Otoneurooftalmol Neurocir;0034-9453;;;;;;;;;
Revista Espanola De Paradoncia;Rev Esp Parad;0484-7598;;;;;;;;;
Revista espanola de pediatria;Rev Esp Pediatr;0034-947X;;;;;;;;;
Revista espanola de reumatismo y enfermedades osteoarticulares;Rev Esp Reum Enferm Osteoartic;0048-7791;;;;;;;;;
Review;Rev Fed Am Health Syst;0891-0200;;;;;;;;;
Review of public data use;Rev Public Data Use;0092-2846;;;;;;;;;
Revue europeenne d;Rev Eur Etud Clin Biol;0035-3019;;;;;;;;;
Revista da Faculdade de Odontologia da Universidade Federal da Bahia;Rev Fac Odontol Univ Fed Bahia;0101-8418;;;;;;;;;
Revista de la Facultad de Ciencias Medicas;Rev Fac Cien Med Univ Nac Cordoba;0014-6722;1853-0605;;;;;;;;
Revista de farmacia e bioquimica da Universidade de Sao Paulo;Rev Farm Bioquim Univ Sao Paulo;0370-4726;;;;;;;;;
RGO;RGO;0103-6971;;;;;;;;;
Revista da Faculdade de Farmacia e Odontologia de Araraquara;Rev Fac Farm Odontol Araraquara;0014-6684;;;;;;;;;
Revista de la Facultad de Medicina;Rev Fac Med Univ Nac Colomb;0120-0011;;;;;;;;;
Revista de farmacia e odontologia;Rev Farm Odontol;0034-8201;;;;;;;;;
Revista de odontologia da UNESP;Rev Odontol UNESP;0101-1774;1807-2577;;;;;;;;
Revista da Faculdade de Odontologia de Aracatuba;Rev Fac Odontol Aracatuba;0300-1350;;;;;;;;;
Revista de la Facultad de Odontologia de la Universidad Nacional de Colombia;Rev Fac Odontol Univ Nac Colomb;0029-8409;;;;;;;;;
Revista da Faculdade de Odontologia;Rev Fac Odontol P Alegre;0566-1854;2177-0018;;;;;;;;
Revista da Faculdade de Odontologia de Pernambuco;Rev Fac Odontol Pernambuco;0048-3419;;;;;;;;;
Revista da Faculdade de Odontologia da Universidade de Sao Paulo;Rev Fac Odontol Sao Paulo;0581-6866;;;;;;;;;
Revista de la Federacion Odontologica Colombiana;Rev Fed Odontol Colomb;0046-354X;;;;;;;;;
Revista da Faculdade de Odontologia de Sao Jose dos Campos;Rev Fac Odontol Sao Jose Dos Campos;0301-1119;;;;;;;;;
Revista F O A;Rev FOA;0300-2837;;;;;;;;;
Revista de la Facultad de Odontologia;Rev Fac Odontol Tucuman;0325-125X;;;;;;;;;
Revue francaise d;Rev Fr Allergol;0035-2845;;;;;;;;;
La Revue francaise d;Rev Fr Endocrinol Clin;0048-8062;;;;;;;;;
Revue francaise des maladies respiratoires;Rev Fr Mal Respir;0301-0279;;;;;;;;;
Revue des maladies respiratoires;Rev Mal Respir;0761-8425;1776-2588;;;;;;;;
Revue francaise d;Rev Fr Etud Clin Biol;0370-4793;;;;;;;;;
Revue de gerontologic d;Rev Gerontol Expr Fr;0375-975X;;;;;;;;;
Revue francaise de gynecologie et d;Rev Fr Gynecol Obstet;0035-290X;;;;;;;;;
Revue francaise d;Rev Fr Odontostomatol;0035-3043;;;;;;;;;
La Revue francaise de la prothese dentaire;Rev Fr Prothese Dent;0048-8089;;;;;;;;;
Revue francaise de psychanalyse;Rev Fr Psychanal;0035-2942;;;;;;;;;
Revue francaise de transfusion;Rev Fr Transfus;0035-2977;;;;;;;;;
Revue francaise de transfusion et immuno;Rev;0338-4535;;;;;;;;;
Revista de gastroenterologia de Mexico;Rev Gastroenterol Mex;0375-0906;;;;;;;;;
Revista gaucha de odontologia;Rev Gaucha Odontol;0034-9542;;;;;;;;;
Revista de ginecologia e d;Rev Ginecol Obstet;0034-8287;;;;;;;;;
Revista guatemalteca de estomatologia;Rev Guatem Estomatol;1017-8554;;;;;;;;;
Revista do Hospital das Clinicas;Rev Hosp Clin Fac Med Sao Paulo;0041-8781;;;;;;;;;
Revue d;Rev Hyg Med Soc;0484-8454;;;;;;;;;
Revista iberica de endocrinologia;Rev Iber Endocrinol;0034-9615;;;;;;;;;
Revista de igiena;Rev Ig Bacteriol Virusol Parazitol Epidemiol Pneumoftiziol Bacteriol Virusol Parazitol Epidemiol;0376-4494;;;;;;;;;
Revista de igiena;Rev Ig Bacteriol Virusol Parazitol Epidemiol Pneumoftiziol Pneumoftiziol;0377-5011;;;;;;;;;
Revue d;Rev Immunol;0397-9539;;;;;;;;;
Revue de l;Rev Infirm;1293-8505;;;;;;;;;
La Revue des infirmieres et infirmiers auxiliaires du Quebec;Rev Infirm Infirm Aux Que;0316-411X;;;;;;;;;
Revista do Instituto de Antibioticos;Rev Inst Antibiot;0080-0228;;;;;;;;;
Revista paulista de enfermagem;Rev Paul Enferm;0100-8889;;;;;;;;;
Revue de l;Rev Inst Hyg Mines;0301-3901;;;;;;;;;
Revista do Instituto de Medicina Tropical de Sao Paulo;Rev;0036-4665;1678-9946;;;;;;;;
Revista del Instituto Nacional de Cancerologia;Rev Inst Nac Cancerol;0534-3828;;;;;;;;;
Revista interamericana de radiologia;Rev Interam Radiol;0034-9704;;;;;;;;;
Revista del Instituto de Salubridad y Enfermedades Tropicales;Rev Inst Salubr Enferm Trop;0370-5781;;;;;;;;;
Seminars in adolescent medicine;Semin Adolesc Med;0748-6480;;;;;;;;;
Sarcoidosis;Sarcoidosis;0393-1447;;;;;;;;;
Revue international des services de sante des armees de terre;Rev Int Serv Sante Armees;0035-3469;;;;;;;;;
Revista catarinense de odontologia;Rev Catarinense Odontol;0100-7955;;;;;;;;;
Revue internationale du trachome;Rev Int Trach;0301-5017;;;;;;;;;
Revue internationale du trachome et de pathologie oculaire tropicale et subtropicale;Rev Int Trach Pathol Ocul Trop Subtrop;0249-7026;;;;;;;;;
Revue internationale du trachome et de pathologie oculaire tropicale et subtropicale et de sante publique;Rev Int Trach Pathol Ocul Trop Subtrop Sante Publique;0246-0831;;;;;;;;;
Revista de investigacion;Rev Invest;0556-6037;;;;;;;;;
Scandinavian journal of primary health care;Scand J Prim Health Care Suppl;0284-6020;;;;;;;;;
Revista costarricense de ciencias medicas;Rev Costarric Cienc Med;0253-2948;;;;;;;;;
Revista ibero;Rev Iberoam Ortod;0212-193X;;;;;;;;;
Revista de investigacion clinica;Rev;0034-8376;;;;;;;;;
Selective cancer therapeutics;Sel Cancer Ther;1043-0733;;;;;;;;;
Revista de investigacion en salud publica;Rev Invest Salud Publica;0034-8384;;;;;;;;;
Revue de laryngologie;Rev Laryngol Otol Rhinol;0035-1334;;;;;;;;;
Seminars in diagnostic pathology;Semin Diagn Pathol;0740-2570;;;;;;;;;
Revista latinoamericana de cirugia plastica;Rev Latinoam Cir Plast;0034-9755;;;;;;;;;
Second opinion;Second Opin;0890-1570;;;;;;;;;
Seminars in respiratory infections;Semin Respir Infect;0882-0546;;;;;;;;;
Seminars in neurology;Semin Neurol;0271-8235;1098-9021;;;;;;;;
Seminars in oncology nursing;Semin Oncol Nurs;0749-2081;1878-3449;;;;;;;;
Seminars in veterinary medicine and surgery;Semin;0882-0511;;;;;;;;;
Revista latinoamericana de microbiologia;Rev;0187-4640;;;;;;;;;
Seminars in nephrology;Semin;0270-9295;1558-4488;;;;;;;;
Revista latinoamericana de patologia;Rev Latinoam Patol;0300-9068;;;;;;;;;
Revista Regional de Aracatuba;Rev Reg Aracatuba Assoc Paul Cir Dent;0101-8140;;;;;;;;;
La Revue lyonnaise de medecine;Rev Lyon Med;0556-798X;;;;;;;;;
Symposium on Fundamental Cancer Research;Symp Fundam Cancer Res;0190-1214;;;;;;;;;
Stereotactic and functional neurosurgery;Stereotact Funct Neurosurg;1011-6125;1423-0372;;;;;;;;
Revue de medecine aeronautique;Rev Med Aeronaut;0755-3692;;;;;;;;;
La Revue de medecine interne;Rev Med Interne;0248-8663;1768-3122;;;;;;;;
Revista medica de Chile;Rev Med Chil;0034-9887;0717-6163;;;;;;;;
Shoni shikagaku zasshi;Shoni Shikagaku Zasshi;0583-1199;;;;;;;;;
Showa Shigakkai zasshi;Showa Shigakkai Zasshi;0285-922X;;;;;;;;;
Revista medico;Rev Med Chir Soc Med Nat Iasi;0048-7848;;;;;;;;;
Showa Igakkai zasshi;Showa Igakkai Zasshi;0037-4342;;;;;;;;;
Revista medica de Costa Rica;Rev Med Costa Rica;0034-9909;;;;;;;;;
Journal of UOEH;J;0387-821X;;;;;;;;;
Scandinavian journal of primary health care;Scand J Prim Health Care;0281-3432;1502-7724;;;;;;;;
Software in healthcare;Softw Healthc;0742-1621;;;;;;;;;
Statistics in medicine;Stat Med;0277-6715;1097-0258;;;;;;;;
Scholarly inquiry for nursing practice;Sch Inq Nurs Pract;0889-7182;;;;;;;;;
Survey of immunologic research;Surv Immunol Res;0252-9564;;;;;;;;;
Seminars in urology;Semin Urol;0730-9147;;;;;;;;;
Revista medica hondurena;Rev Med Hondur;0375-1112;;;;;;;;;
Scandinavian journal of caring sciences;Scand J Caring Sci;0283-9318;1471-6712;;;;;;;;
Revista medica del Hospital General;Rev Med Hosp Gen;0034-9925;;;;;;;;;
Revista de medicina interna;Rev Med Interna Neurol Psihiatr Neurochir Dermatovenerol Med Interna;1220-0905;;;;;;;;;
