title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
Architectural Record;Archit Rec;0003-858X;;;;MON;;;;
Architectural Review;;0003-861X;;;;MON;;;;
Architectural Science Review;Archit Sci Rev;0003-8628;;;;QUA;;;;
Architectural Theory Review;;1326-4826;1755-0475;;;TRI;;;;
Architektura & Urbanizmus;;0044-8680;;;;QUA;;;;
Archiv Der Freunde Der Naturgeschichte In Mecklenburg;;0518-3189;;;;ANN;;;;
Archiv Der Mathematik;;0003-889X;1420-8938;;;MON;;;Springer;
Archiv Der Pharmazie;Arch Pharm (Weinheim);0365-6233;1521-4184;;;MON;;;Wiley;
Archiv Fuer Geschiebekunde;;0936-2967;;;;IRR;;;;
Archiv Fur Das Studium Der Neueren Sprachen Und Literaturen;;0003-8970;;;;SEM;;;;
Archiv Fur Geschichte Der Philosophie;;0003-9101;1613-0650;;;TRI;;;;
Archiv Fur Kriminologie;Arch Kriminol;0003-9225;;;;BIM;;;;
Archiv Fur Molluskenkunde;Arch Molluskenkd 2004;1869-0963;;;;SEM;;;;
Archiv Fur Musikwissenschaft;;0003-9292;;;;QUA;;;;
Archiv Fur Reformationsgeschichte-Archive For Reformation History;;0003-9381;;;;ANN;;;;
Archiv Fur Sozialgeschichte;;0066-6505;;;;ANN;;;;
Archiv Fur Tierzucht-Archives Of Animal Breeding;Arch. Tierz.;0003-9438;;;;BIM;;;;
Archiv Orientalni;Arch Orient;0044-8699;;;;QUA;;;;
Archivaria;Archivaria;0318-6954;;;;SEM;;;;
Archive For History Of Exact Sciences;;0003-9519;1432-0657;;;BIM;;;Springer;
Archive For Mathematical Logic;;0933-5846;1432-0665;;;BIM;;;Springer;
Archive For Rational Mechanics And Analysis;Arch Ration Mech Anal;0003-9527;1432-0673;;;MON;;;Springer;
Archive For The Psychology Of Religion-Archiv Fur Religionspsychologie;;0084-6724;1573-6121;;;TRI;;;;
Archive Of Applied Mechanics;;0939-1533;1432-0681;;;MON;;;Springer;
Archives And Records-The Journal Of The Archives And Records Association;;2325-7962;;;;SEM;;;;
Archives De L Institut Pasteur De Tunis;Arch Inst Pasteur Tunis;0020-2509;;;;QUA;;;;
Archives De Pediatrie;Arch Pediatr;0929-693X;1769-664X;;;MON;;;Elsevier;
Archives Des Maladies Professionnelles Et De L Environnement;;1775-8785;;;;BIM;;;Elsevier;
Archives Europeennes De Sociologie;Arch Eur Sociol;0003-9756;;;;TRI;;;;
Archives Italiennes De Biologie;Arch Ital Biol;0003-9829;;;;QUA;;;;
Archives Of Acoustics;;0137-5075;;;;QUA;;;;
Archives Of Agronomy And Soil Science;;0365-0340;1476-3567;;;MON;;;;
Archives Of American Art Journal;;0003-9853;;;;QUA;;;;
Archives Of Animal Nutrition;Arch Anim Nutr;1745-039X;1477-2817;;;BIM;;;;
Archives Of Biochemistry And Biophysics;Arch Biochem Biophys;0003-9861;1096-0384;;;;;;Elsevier;
Archives Of Biological Sciences;Arch Biol Sci;0354-4664;;;;QUA;;;;
Archives Of Budo;;1643-8698;;;;QUA;;;;
Archives Of Cardiovascular Diseases;Arch Cardiovasc Dis;1875-2136;1875-2128;;;MON;;;Elsevier;
Archives Of Civil And Mechanical Engineering;;1644-9665;;;;QUA;;;Elsevier;
Archives Of Clinical Neuropsychology;Arch Clin Neuropsychol;0887-6177;1873-5843;;;BIM;;;;
Archives Of Computational Methods In Engineering;;1134-3060;;;;QUA;;;Springer;
Archives Of Dermatological Research;Arch Dermatol Res;0340-3696;1432-069X;;;MON;;;Springer;
Archives Of Disease In Childhood;Arch Dis Child;0003-9888;1468-2044;;;MON;;;;
Archives Of Disease In Childhood-Education And Practice Edition;Arch Dis Child Educ Pract Ed;1743-0585;1743-0593;;;BIM;;;;
Archives Of Disease In Childhood-Fetal And Neonatal Edition;Arch Dis Child Fetal Neonatal Ed;1359-2998;1468-2052;;;BIM;;;;
Archives Of Environmental & Occupational Health;Arch Environ Occup Health;1933-8244;;;;QUA;;;;
Archives Of Environmental Contamination And Toxicology;Arch Environ Contam Toxicol;0090-4341;1432-0703;;;BIM;;;Springer;
Archives Of Environmental Protection;;2083-4772;;;;QUA;;;;
Archives Of Gerontology And Geriatrics;Arch Gerontol Geriatr;0167-4943;1872-6976;;;BIM;;;Elsevier;
Archives Of Gynecology And Obstetrics;Arch Gynecol Obstet;0932-0067;1432-0711;;;BIM;;;Springer;
Archives Of Insect Biochemistry And Physiology;Arch Insect Biochem Physiol;0739-4462;1520-6327;;;MON;;;Wiley;
Archives Of Iranian Medicine;Arch Iran Med;1029-2977;1735-3947;;;QUA;;;;
Archives Of Mechanics;;0373-2029;;;;BIM;;;;
Archives Of Medical Research;Arch Med Res;0188-4409;1873-5487;;;BIM;;;Elsevier;
Archives Of Medical Science;Arch Med Sci;1734-1922;;;;BIM;;;;
Archives Of Metallurgy And Materials;;1733-3490;;;;QUA;;;;
Archives Of Microbiology;Arch Microbiol;0302-8933;1432-072X;;;MON;;;Springer;
Archives Of Mining Sciences;;0860-7001;1689-0469;;;QUA;;;;
Archives Of Natural History;Arch Nat Hist;0260-9541;1755-6260;;;SEM;;;;
Archives Of Oral Biology;Arch Oral Biol;0003-9969;1879-1506;;;MON;;;Elsevier;
Archives Of Orthopaedic And Trauma Surgery;Arch Orthop Trauma Surg;0936-8051;1434-3916;;;MON;;;Springer;
Archives Of Pathology & Laboratory Medicine;Arch Pathol Lab Med;0003-9985;1543-2165;;;MON;;;;
Archives Of Pharmacal Research;Arch Pharm Res;0253-6269;;;;MON;;;;
Archives Of Physical Medicine And Rehabilitation;;0003-9993;1532-821X;;;MON;;;Elsevier;
Archives Of Physiology And Biochemistry;Arch Physiol Biochem;1381-3455;1744-4160;;;BIM;;;;
Archives Of Phytopathology And Plant Protection;Arch. Phytopathol. Pflanzenschutz;0323-5408;;;;;;;;
Archives Of Polish Fisheries;;1230-6428;2083-6139;;;QUA;;;;
Archives Of Psychiatric Nursing;Arch Psychiatr Nurs;0883-9417;1532-8228;;;BIM;;;Elsevier;
Archives Of Razi Institute;;0365-3439;2008-9872;;;SEM;;;;
Archives Of Rheumatology;;1309-0291;1309-0283;;;QUA;;;;
Archives Of Sexual Behavior;Arch Sex Behav;0004-0002;1573-2800;;;BIM;;;Springer;
Archives Of Suicide Research;Arch Suicide Res;1381-1118;1543-6136;;;QUA;;;;
Archives Of Toxicology;Arch Toxicol;0340-5761;1432-0738;;;MON;;;Springer;
Archives Of Veterinary Science;;1517-784X;;;;TRI;;;;
Archives Of Virology;Arch Virol;0304-8608;1432-8798;;;MON;;;Springer;
Archives Of Womens Mental Health;Arch Womens Ment Health;1434-1816;1435-1102;;;BIM;;;Springer;
Archivio Geobotanico;;1122-7214;;;;SEM;;;;
Archivio Storico Italiano;Arch Stor Ital;0391-7770;;;;QUA;;;;
Archivo Espanol De Arqueologia;;0066-6742;1988-3110;;;ANN;;;;
Archivo Espanol De Arte;Arch Esp Arte;0004-0428;;;;QUA;;;;
Archivos Argentinos De Pediatria;Arch Argent Pediatr;0325-0075;1668-3501;;;BIM;;;;
Archivos De Bronconeumologia;Arch Bronconeumol;0300-2896;1579-2129;;;MON;;;;
Archivos De Cardiologia De Mexico;Arch Cardiol Mex;1405-9940;;;;QUA;;;;
Archivos De Medicina Veterinaria;Arch Med Vet;0301-732X;;;;TRI;;;;
Archivos De Zootecnia;;0004-0592;;;;QUA;;;;
Archivos Espanoles De Urologia;Arch Esp Urol;0004-0614;1576-8260;;;MON;;;;
Archivos Latinoamericanos De Nutricion;Arch Latinoam Nutr;0004-0622;;;;QUA;;;;
Archivum Immunologiae Et Therapiae Experimentalis;Arch Immunol Ther Exp (Warsz);0004-069X;1661-4917;;;BIM;;;Springer;
Arctic;Arctic;0004-0843;;;;QUA;;;;
Arctic Antarctic And Alpine Research; Antarctic;1523-0430;;;;QUA;;;;
Arctic Anthropology;Arctic Anthropol;0066-6939;;;;ANN;;;;
Ardea;Ardea;0373-2266;;;;SEM;;;;
Ardeola;Ardeola;0570-7358;;;;SEM;;;;
Area;;0004-0894;1475-4762;;;QUA;;;Wiley;
Arethusa;Arethusa;0004-0975;1080-6504;;;TRI;;;;
Argia;;1061-8503;;;;QUA;;;;
Argiope;;1259-5411;;;;QUA;;;;
Argos;;0254-1637;;;;SEM;;;;
Argumenta Oeconomica;;1233-5835;;;;SEM;;;;
Argumentation;;0920-427X;1572-8374;;;QUA;;;Springer;
Arheoloski Vestnik;;0570-8966;1581-1204;;;ANN;;;;
Arhiv Za Higijenu Rada I Toksikologiju-Archives Of Industrial Hygiene And Toxicology;Arh Hig Rada Toksikol;0004-1254;;;;QUA;;;;
Arianta;;2072-7410;;;;IRR;;;;
Arid Land Research And Management;;1532-4982;1532-4990;;;QUA;;;;
Ariel-A Review Of International English Literature;;0004-1327;;;;QUA;;;;
Arion-A Journal Of Humanities And The Classics;;0095-5809;;;;TRI;;;;
Arizona Game And Fish Department Research Branch Technical Guidance Bulletin;;1052-7621;;;;IRR;;;;
Arkansas Historical Quarterly;Ark Hist Q;0004-1823;;;;QUA;;;;
Arkhiv Patologii;Arkh Patol;0004-1955;2309-1266;;;BIM;;;;
Arkiv For Matematik;;0004-2080;1871-2487;;;SEM;;;Springer;
Arkivoc;;1551-7004;1424-6376;;;BIM;;;;
Armed Forces & Society;Armed Forces Soc;0095-327X;;;;QUA;;;;
Arms & Armour;;1741-6124;1749-6268;;;SEM;;;;
Arnaldoa;;1815-8242;;;;SEM;;;;
Arnoldia;;0004-2633;;;;QUA;;;;
Arnoldia Zimbabwe;;0250-6386;;;;IRR;;;;
Arpn Journal Of Agricultural And Biological Science;;1990-6145;;;;MON;;;;
Arq;;0717-6996;0716-0852;;;TRI;;;;
Arq-Architectural Research Quarterly;;1359-1355;1474-0516;;;QUA;;;;
Arquipelago-Life And Marine Sciences;Arquipelago;0873-4704;;;;ANN;;;;
Arquitetura Revista;;1808-5741;;;;SEM;;;;
Arquivo Brasileiro De Medicina Veterinaria E Zootecnia;Arq Bras Med Vet Zootec;0102-0935;1678-4162;;;BIM;;;;
Arquivos Brasileiros De Cardiologia;Arq Bras Cardiol;0066-782X;1678-4170;;;MON;;;;
Arquivos Brasileiros De Endocrinologia E Metabologia;Arq Bras Endocrinol Metabol;0004-2730;1677-9487;;;MON;;;;
Arquivos Brasileiros De Oftalmologia;Arq Bras Oftalmol;0004-2749;1678-2925;;;BIM;;;;
Arquivos De Ciencias Do Mar;;0374-5686;;;;ANN;;;;
Arquivos De Ciencias Veterinarias E Zoologia Da Unipar;;1415-8167;;;;SEM;;;;
Arquivos De Gastroenterologia;;0004-2803;1678-4219;;;QUA;;;;
Arquivos De Neuro-Psiquiatria;Arq Neuropsiquiatr;0004-282X;1678-4227;;;QUA;;;;
Arquivos De Zoologia-Sao Paulo;;0066-7870;;;;IRR;;;;
Arquivos Do Instituto Biologico Sao Paulo;Arq Inst Biol (Sao Paulo);1808-1657;1808-1657;;;SEM;;;;
Arquivos Do Jardim Botanico Do Rio De Janeiro;;0103-2550;;;;ANN;;;;
Arquivos Do Museu Bocage;;0871-4843;;;;IRR;;;;
Arquivos Do Museu Nacional;Arq. Mus. Nac.;0365-4508;;;;QUA;;;;
Arquivos Entomoloxicos;;1989-6581;;;;ANN;;;;
Ars Combinatoria;;0381-7032;;;;QUA;;;;
Ars Mathematica Contemporanea;;1855-3966;1855-3974;;;SEM;;;;
Ars Orientalis;;0571-1371;;;;ANN;;;;
Art Bulletin;Art Bull;0004-3079;;;;QUA;;;;
Art History;Art Hist;0141-6790;;;;BIM;;;Wiley;
Art In America;;0004-3214;;;;IRR;;;;
Art Journal;;0004-3249;;;;QUA;;;;
Arte Individuo Y Sociedad; Individuo Y Sociedad;1988-2408;1131-5598;;;SEM;;;;
Artenschutzreport;Artenschutzreport;0940-8215;;;;SEM;;;;
Arteriosclerosis Thrombosis And Vascular Biology; Thrombosis;1079-5642;1524-4636;;;MON;;;;
Artforum International;;1086-7058;1098-3376;;;MON;;;;
Arthritis & Rheumatology;Arthritis Rheumatol;2326-5191;2326-5205;;;MON;;;Wiley;
Arthritis Care & Research;Arthritis Care Res (Hoboken);2151-464X;2151-4658;;;MON;;;Wiley;
Arthritis Research & Therapy;Arthritis Res Ther;1478-6354;1478-6362;;;BIM;;;;
Arthropod Structure & Development;Arthropod Struct Dev;1467-8039;1873-5495;;;BIM;;;Elsevier;
Arthropod Systematics & Phylogeny;Arthropod Syst Phylogeny;1863-7221;1864-8312;;;SEM;;;;
Arthropod-Plant Interactions;Arthropod Plant Interact;1872-8855;1872-8847;;;BIM;;;Springer;
Arthropoda;;0943-7274;;;;QUA;;;;
Arthropoda Generalis;;2191-4427;;;;IRR;;;;
Arthropoda Popularis;;1866-5896;;;;SEM;;;;
Arthropoda Scientia;;1866-5896;;;;IRR;;;;
Arthropoda Selecta;Arthropoda Sel;0136-006X;;;;QUA;;;;
Arthropods;;2224-4255;;;;QUA;;;;
Arthropods Of Florida And Neighboring Land Areas;;0066-8036;;;;IRR;;;;
Arthroscopy-The Journal Of Arthroscopic And Related Surgery;Arthroscopy;0749-8063;1526-3231;;;MON;;;Elsevier;
Arthuriana;;1078-6279;1934-1539;;;QUA;;;;
Arti Musices;;0587-5455;;;;SEM;;;;
Artibus Asiae;;0004-3648;;;;SEM;;;;
Artibus Et Historiae;;0391-9064;;;;SEM;;;;
Articulata;;0171-4090;;;;SEM;;;;
Artificial Cells Nanomedicine And Biotechnology; Nanomedicine And Biotechnology;2169-1401;2169-141X;;;BIM;;;;
Artificial Intelligence;Artif Intell;0004-3702;1872-7921;;;MON;;;Elsevier;
Artificial Intelligence In Medicine;Artif Intell Med;0933-3657;1873-2860;;;MON;;;Elsevier;
Artificial Intelligence Review;;0269-2821;1573-7462;;;BIM;;;Springer;
Artificial Life;Artif Life;1064-5462;1530-9185;;;QUA;;;;
Artificial Organs;Artif Organs;0160-564X;1525-1594;;;MON;;;Wiley;
Artmargins;;2162-2574;;;;TRI;;;;
Artnews;Artnews;0004-3273;;;;MON;;;;
Arts & Health;Arts Health;1753-3015;1753-3023;;;TRI;;;;
Arts In Psychotherapy;;0197-4556;1873-5878;;;BIM;;;Elsevier;
Arts Of Asia;;0004-4083;;;;BIM;;;;
Arvicola;;0758-5721;;;;SEM;;;;
Arxius De Les Seccions De Ciencies;;1132-9319;;;;IRR;;;;
Arxius De Miscellania Zoologica;;1698-0476;;;;ANN;;;;
Asaio Journal;Asaio J;1058-2916;1538-943X;;;BIM;;;;
Asclepio-Revista De Historia De La Medicina Y De La Ciencia;Asclepio;0210-4466;1988-3102;;;SEM;;;;
Ashrae Journal;;0001-2491;0364-9962;;;MON;;;;
Asia Europe Journal;;1610-2932;1612-1031;;;QUA;;;Springer;
Asia Life Sciences;Asia Life Sci;0117-3375;;;;SEM;;;;
Asia Pacific Business Review;;1360-2381;1743-792X;;;QUA;;;;
Asia Pacific Education Review;;1598-1037;;;;TRI;;;Springer;
Asia Pacific Journal Of Anthropology;;1444-2213;1740-9314;;;BIM;;;;
Asia Pacific Journal Of Clinical Nutrition;Asia Pac J Clin Nutr;0964-7058;1440-6047;;;QUA;;;;
Asia Pacific Journal Of Education;;0218-8791;1742-6855;;;QUA;;;;
Asia Pacific Journal Of Human Resources;;1038-4111;1744-7941;;;QUA;;;Wiley;
Asia Pacific Journal Of Management;;0217-4561;1572-9958;;;QUA;;;Springer;
Asia Pacific Journal Of Social Work And Development;Asia Pac J Soc Work;0218-5385;;;;QUA;;;;
Asia Pacific Journal Of Tourism Research;;1094-1665;1741-6507;;;BIM;;;;
Asia Pacific Law Review;;1019-2557;;;;SEM;;;;
Asia Pacific Viewpoint;Asia Pac Viewp;1360-7456;;;;TRI;;;Wiley;
Asia-Pacific Education Researcher;;0119-5646;2243-7908;;;SEM;;;Springer;
Asia-Pacific Journal Of Accounting & Economics;;1608-1625;2164-2257;;;QUA;;;;
Asia-Pacific Journal Of Atmospheric Sciences;;1976-7633;1976-7951;;;QUA;;;;
Asia-Pacific Journal Of Chemical Engineering;;1932-2135;1932-2143;;;BIM;;;Wiley;
Asia-Pacific Journal Of Clinical Oncology;Asia Pac J Clin Oncol;1743-7555;1743-7563;;;QUA;;;Wiley;
Asia-Pacific Journal Of Financial Studies;;2041-9945;;;;BIM;;;Wiley;
Asia-Pacific Journal Of Operational Research;;0217-5959;;;;BIM;;;;
Asia-Pacific Journal Of Public Health;Asia Pac J Public Health;1010-5395;1941-2479;;;BIM;;;;
Asia-Pacific Journal Of Teacher Education;;1359-866X;1469-2945;;;QUA;;;;
Asia-Pacific Psychiatry;Asia Pac Psychiatry;1758-5864;1758-5872;;;QUA;;;Wiley;
Asian American Journal Of Psychology;Asian Am J Psychol;1948-1985;1948-1993;;;QUA;;;;
Asian And Pacific Migration Journal;Asian Pac Migr J;0117-1968;;;;QUA;;;;
Asian Biomedicine;Asian Biomed (Res Rev News);1905-7415;1875-855X;;;BIM;;;;
Asian Business & Management;;1472-4782;1476-9328;;;BIM;;;;
Asian Economic Journal;;1351-3958;1467-8381;;;QUA;;;Wiley;
Asian Economic Papers;;1535-3516;1536-0083;;;TRI;;;;
Asian Economic Policy Review;;1832-8105;1748-3131;;;SEM;;;Wiley;
Asian Ethnology;;1882-6865;;;;SEM;;;;
Asian Fisheries Science;Asian Fish Sci;0116-6514;;;;QUA;;;;
Asian Herpetological Research;Asian Herpetol Res;2095-0357;;;;QUA;;;;
Asian Journal Of Andrology;Asian J Androl;1008-682X;1745-7262;;;BIM;;;;
Asian Journal Of Animal Sciences;;1819-1878;;;;QUA;;;;
Asian Journal Of Biodiversity;;2094-5019;;;;ANN;;;;
Asian Journal Of Biological And Life Sciences;;2278-747X;;;;TRI;;;;
Asian Journal Of Biological Sciences;;1996-3351;;;;SEM;;;;
Asian Journal Of Cell Biology;;1814-0068;;;;SEM;;;;
Asian Journal Of Communication;Asian J Commun;0129-2986;;;;BIM;;;;
Asian Journal Of Conservation Biology;;2278-7666;;;;SEM;;;;
Asian Journal Of Control;Asian J Control;1561-8625;;;;BIM;;;Wiley;
Asian Journal Of Ecotoxicology;;1673-5897;;;;BIM;;;;
Asian Journal Of Experimental Biological Sciences;Asian J Exp Biol Sci;0975-5845;;;;QUA;;;;
Asian Journal Of Experimental Sciences;;0971-5444;;;;SEM;;;;
Asian Journal Of Mathematics;;1093-6106;;;;QUA;;;;
Asian Journal Of Organic Chemistry;;2193-5807;;;;;;;Wiley;
Asian Journal Of Plant Pathology;Asian J Plant Pathol;1819-1541;;;;QUA;;;;
Asian Journal Of Plant Sciences;;1682-3974;;;;BIM;;;;
Asian Journal Of Scientific Research;;1992-1454;2077-2076;;;QUA;;;;
Asian Journal Of Social Psychology;Asian J Soc Psychol;1367-2223;1467-839X;;;QUA;;;Wiley;
Asian Journal Of Social Science;;1568-4849;1568-5314;;;BIM;;;;
Asian Journal Of Surgery;Asian J Surg;1015-9584;0219-3108;;;QUA;;;Elsevier;
Asian Journal Of Technology Innovation;;1976-1597;2158-6721;;;SEM;;;;
Asian Journal Of Womens Studies;;1225-9276;;;;QUA;;;;
Asian Journal Of Wto & International Health Law And Policy;;1819-5164;;;;SEM;;;;
Asian Marine Biology;;1011-4041;;;;ANN;;;;
Asian Music;;0044-9202;1553-5630;;;SEM;;;;
Asian Myrmecology;;1985-1944;;;;IRR;;;;
Asian Nursing Research;Asian Nurs Res (Korean Soc Nurs Sci);1976-1317;;;;QUA;;;Elsevier;
Asian Pacific Journal Of Allergy And Immunology;Asian Pac J Allergy Immunol;0125-877X;;;;TRI;;;;
Asian Pacific Journal Of Cancer Prevention;Asian Pac J Cancer Prev;1513-7368;;;;QUA;;;;
Asian Pacific Journal Of Reproduction;;2305-0500;;;;QUA;;;Elsevier;
Asian Pacific Journal Of Tropical Biomedicine;Asian Pac J Trop Biomed;2221-1691;;;;BIM;;;;
Asian Pacific Journal Of Tropical Disease;;2222-1808;;;;BIM;;;;
Asian Pacific Journal Of Tropical Medicine;Asian Pac J Trop Med;1995-7645;;;;MON;;;Elsevier;
Asian Perspective;Asian Perspect;0258-9184;;;;QUA;;;;
Asian Perspectives;;0066-8435;1535-8283;;;SEM;;;;
Asian Philosophy;;0955-2367;1469-2961;;;QUA;;;;
Asian Population Studies;Asian Popul Stud;1744-1730;1744-1749;;;TRI;;;;
Asian Studies Review;;1035-7823;1467-8403;;;QUA;;;;
Asian Survey;Asian Surv;0004-4687;;;;BIM;;;;
Asian Theatre Journal;;0742-5457;1527-2109;;;SEM;;;;
Asian Women;;1225-925X;;;;QUA;;;;
Asian-Australasian Journal Of Animal Sciences;Asian-Australas J Anim Sci;1011-2367;1976-5517;;;MON;;;;
Asian-Pacific Economic Literature;Asia Pac Econ Lit;0818-9935;;;;SEM;;;Wiley;
Asiatic Herpetological Research;Asiat. Herpetol. Res.;1051-3825;;;;IRR;;;;
Aslib Journal Of Information Management;;2050-3806;;;;BIM;;;;
Asn Neuro;Asn Neuro;1759-0914;;;;BIM;;;;
Aspects Of Applied Biology;Asp Appl Biol;0265-1491;;;;IRR;;;;
Assay And Drug Development Technologies;Assay Drug Dev Technol;1540-658X;1557-8127;;;MON;;;;
Assembly Automation;;0144-5154;;;;QUA;;;;
Assessing Writing;;1075-2935;;;;QUA;;;Elsevier;
Assessment;Assessment;1073-1911;1552-3489;;;BIM;;;;
Assessment & Evaluation In Higher Education;;0260-2938;1469-297X;;;BIM;;;;
Assistenza Infermieristica E Ricerca;Assist Inferm Ric;1592-5986;2038-1778;;;QUA;;;;
Assistive Technology;Assist Technol;1040-0435;;;;SEM;;;;
Assiut University Bulletin For Environmental Researches;;1110-6107;;;;SEM;;;;
Assiut Veterinary Medical Journal;Assiut Vet Med J;1012-5973;;;;IRR;;;;
Association Geologique Auboise Bulletin Annuel;;0249-0102;;;;ANN;;;;
Asta-Advances In Statistical Analysis;;1863-8171;1863-818X;;;QUA;;;Springer;
Astaciculteur De France;;1244-457X;;;;QUA;;;;
Asterisque;;0303-1179;;;;BIM;;;;
Astin Bulletin;;0515-0361;1783-1350;;;TRI;;;;
Astm Standardization News;Stand News;1094-4656;;;;MON;;;;
Astrobiology;Astrobiology;1531-1074;1557-8070;;;MON;;;;
Astronomical Journal;Astron J;0004-6256;;;;MON;;;;
Astronomische Nachrichten;;0004-6337;1521-3994;;;MON;;;Wiley;
Astronomy & Astrophysics;Astron Astrophys;0004-6361;;;;MON;;;;
Astronomy & Geophysics;;1366-8781;1468-4004;;;BIM;;;;
Astronomy And Astrophysics Review;;0935-4956;1432-0754;;;MON;;;Springer;
Astronomy Letters-A Journal Of Astronomy And Space Astrophysics;;1063-7737;1562-6873;;;MON;;;Springer;
Astronomy Reports;;1063-7729;1562-6881;;;MON;;;Springer;
Astroparticle Physics;;0927-6505;;;;MON;;;Elsevier;
Astrophysical Bulletin;;1990-3413;1990-3421;;;QUA;;;Springer;
Astrophysical Journal;Astrophys J;0004-637X;;;;;;;;
Astrophysical Journal Letters;;2041-8205;2041-8213;;;;;;;
Astrophysical Journal Supplement Series; Supplement Series;0067-0049;;;;MON;;;;
Astrophysics;;0571-7256;1573-8191;;;QUA;;;Springer;
Astrophysics And Space Science;Astrophys Space Sci;0004-640X;;;;MON;;;Springer;
Asymptotic Analysis;;0921-7134;;;;MON;;;;
At-Automatisierungstechnik;;0178-2312;;;;MON;;;;
Atalanta-Marktleuthen; Germany);0171-0079;;;;SEM;;;;
Atalante-Revista De Estudios Cinematograficos;;1885-3730;2340-6992;;;SEM;;;;
Ataturk Universitesi Ziraat Fakultesi Dergisi;;1300-9036;;;;SEM;;;;
Atemwegs-Und Lungenkrankheiten;;0341-3055;;;;MON;;;;
Atencion Farmaceutica;;1139-7357;;;;BIM;;;;
Atencion Primaria;Aten Primaria;0212-6567;1578-1275;;;MON;;;;
Atene E Roma-Nuova Serie Seconda;;0004-6493;;;;SEM;;;;
Atenea;;0718-0462;0716-1840;;;SEM;;;;
Athenaeum-Studi Periodici Di Letteratura E Storia Dell Antichita;;0004-6574;;;;SEM;;;;
Atherosclerosis;Atherosclerosis;0021-9150;1879-1484;;;MON;;;Elsevier;
Atherosclerosis Supplements;Atheroscler Suppl;1567-5688;1878-5050;;;SEM;;;Elsevier;
Atla-Alternatives To Laboratory Animals;Altern Lab Anim;0261-1929;;;;BIM;;;;
Atlantic Geology;;0843-5561;;;;TRI;;;;
Atlantica;;0102-1656;;;;ANN;;;;
Atlantis-A Womens Studies Journal; N.S.);0702-7818;;;;SEM;;;;
Atlantis-Journal Of The Spanish Association Of Anglo-American Studies;;0210-6124;1989-6840;;;SEM;;;;
Atmosfera;;0187-6236;;;;QUA;;;;
Atmosphere;Atmosphere (Basel);2073-4433;;;;MON;;;;
Atmosphere-Ocean;;0705-5900;1480-9214;;;QUA;;;;
Atmospheric Chemistry And Physics;Atmos Chem Phys;1680-7316;1680-7324;;;;;;;
Atmospheric Environment;Atmos Environ (1994);1352-2310;;;;;;;Elsevier;
Atmospheric Measurement Techniques;Atmos Meas Tech;1867-1381;1867-8548;;;IRR;;;;
Atmospheric Pollution Research;Atmos Pollut Res;1309-1042;;;;QUA;;;;
Atmospheric Research;Atmos Res;0169-8095;;;;MON;;;Elsevier;
Atmospheric Science Letters;;1530-261X;;;;QUA;;;Wiley;
Atoll Research Bulletin;Atoll Res Bull;0077-5630;;;;IRR;;;;
Atom Indonesia;;0126-1568;;;;SEM;;;;
Atomic Data And Nuclear Data Tables;;0092-640X;1090-2090;;;BIM;;;Elsevier;
Atomic Energy;;1063-4258;1573-8205;;;MON;;;Springer;
Atomic Spectroscopy;;0195-5373;;;;BIM;;;;
Atomization And Sprays;;1044-5110;;;;MON;;;;
Atropos;;1478-8128;;;;TRI;;;;
Attachment & Human Development;Attach Hum Dev;1461-6734;1469-2988;;;BIM;;;;
Attention Perception & Psychophysics; Perception;1943-3921;1943-393X;;;BIM;;;Springer;
Atti Del Congresso Nazionale Italiano Di Entomologia;;0374-5562;;;;ANN;;;;
Atti Del Museo Civico Di Storia Naturale Di Trieste;;0365-1576;;;;IRR;;;;
Atti Del Museo Di Storia Naturale Della Maremma;;1126-0882;;;;ANN;;;;
Atti Della Accademia Delle Scienze Di Torino I Classe Di Scienze Fisiche Matematiche E Naturali;;0001-4419;;;;TRI;;;;
Atti Della Accademia Nazionale Italiana Di Entomologia Rendiconti;;0065-0757;;;;ANN;;;;
Atti Della Accademia Roveretana Degli Agiati Serie 8 B Classe Di Scienze Matematiche Fisiche E Naturali;;1124-0350;;;;ANN;;;;
Atti Della Societa Dei Naturalisti E Matematici Di Modena;;0365-7027;;;;ANN;;;;
Atti Della Societa Toscana Di Scienze Naturali Residente In Pisa Memorie Serie A;;0365-7655;;;;ANN;;;;
Atti Della Societa Toscana Di Scienze Naturali Residente In Pisa Memorie Serie B;;0365-7450;;;;ANN;;;;
Atti E Memorie Della Commissione Grotte Eugenio Boegan;;0391-1764;;;;ANN;;;;
Atti Ticinensi Di Scienze Della Terra;;0394-0691;;;;ANN;;;;
Atualidades Ornitologicas;;0104-2386;;;;BIM;;;;
Atw-International Journal For Nuclear Power;;1431-5254;;;;MON;;;;
Atzavara;;0212-8993;;;;IRR;;;;
Audiology And Neuro-Otology;Audiol Neurootol;1420-3030;1421-9700;;;BIM;;;;
Auditing-A Journal Of Practice & Theory;;0278-0380;1558-7991;;;SEM;;;;
Audubon;Audubon;0097-7136;;;;BIM;;;;
Aufschluss;;0004-7856;;;;BIM;;;;
Augmentative And Alternative Communication;Augment Altern Commun;0743-4618;1477-3848;;;QUA;;;;
Auk;Auk;0004-8038;;;;QUA;;;;
Aula Orientalis;;0212-5730;;;;SEM;;;;
Aumla-Journal Of The Australasian Universities Language And Literature Association;;0001-2793;;;;SEM;;;;
